湖南09高招本科二批平行一志愿投档分数线
　　>>湖南高招本科二批平行一志愿投档分数线(理工)
　　院校代号  院校名称  文史类投档线
　　5128 攀枝花学院                   507
　　5129 绵阳师范学院          507
　　5130 西昌学院                   515
　　5131 四川警察学院          517
　　5203 贵州财经学院          507
　　5204 遵义医学院            525
　　5206 贵阳中医学院          534
　　5207 贵州民族学院          524
　　5208 贵州师范大学          534
　　5209 黔南民族师范学院 507
　　5210 遵义师范学院          509
　　5211 毕节学院                   507
　　5213 贵州师范学院          507
　　5240 铜仁学院                   507
　　5241 贵阳学院                    510
　　5246 安顺学院                    507
　　5259 凯里学院                    507
　　5305 昆明理工大学           543
　　5306 云南农业大学           530
　　5309 西南林学院                    529
　　5310 云南民族大学           538
　　5311 云南师范大学           539
　　5312 云南财经大学           552
　　5314 云南中医学院           533
　　5315 玉溪师范学院           515
　　5316 大理学院                    517
　　5317 楚雄师范学院           507
　　5319 昆明学院                    524
　　5321 红河学院                    508
　　5322 云南警官学院           523
　　5401 西藏大学                    514
　　5405 西藏民族学院           510
　　6118 渭南师范学院           507
　　6119 陕西理工学院           507
　　6121 西安石油大学           538
　　6122 西安邮电学院           529
　　6123 西安财经学院           541
　　6124 西安体育学院           507
　　6125 西北政法大学           553
　　6126 西安工程大学           536
　　6127 西安理工大学           507
　　6128 西安工业大学           507
　　6131 陕西中医学院           522
　　6142 榆林学院                    507
　　6147 西安外事学院           519
　　6148 西安培华学院           507
　　6151 西安翻译学院           517
　　6153 西安文理学院           530
　　6156 商洛学院                    507
　　6160 西安思源学院           507
　　6202 兰州交通大学           535
　　6205 西北民族大学(汉族)  532
　　6205 西北民族大学(非汉族)  524
　　6206 兰州商学院                    532
　　6207 甘肃中医学院           527
　　6208 天水师范学院           508
　　6209 西北师范大学           537
　　6303 青海民族大学           515
　　6304 青海师范大学           519
　　6401 北方民族大学(汉族)  525
　　6401 北方民族大学(非汉族)  520
　　6420 宁夏理工学院           507
　　6502 石河子大学                    523
　　6506 新疆财经大学           544
　　6508 塔里木大学                    507
　　6509 伊犁师范学院           510
　　6511 喀什师范学院           507

