山东大学2009年普通本科招生章程
　　新浪考试讯：山东大学本科招生网近日公布了2009年招生章程，特别搜集整理以方便考生阅读，详细内容如下：
　　第一章 总则  
　　第二十一条 山东大学实行按大类招生。普通高考录取时，以第一学校志愿投档的考生，专业(类)分配按照“分数级差原­则”进行，第1-2专业(类)志愿的分数级差为3分，其它专业(类)志愿的分数级差为1分；非第一学校志愿投档的考生，专业(类)分配在缺额专业(类)计划中按照“分数优先”的原­则进行。当考生成绩无法满足所填报的专业(类)志愿时，如果考生服从专业(类)调剂，学校根据考生的投档成绩从高分到低分调剂到招生计划尚未完成的专业(类)；对于按以上原­则无法满足专业(类)志愿且不服从专业(类)调剂的考生，做退档处理。  
　　第二十二条 对部分实行高考选考科目的试点省份，按照我校在该省份公布的选考科目等级和该省份招生考试主管部门的有关录取规定执行；若某些专业(类)按选考科目录取生源不足时，我校参照考生所在省份招生主管部门的相关规定，可调剂录取选考其它科目并达到相应科目等级规定的考生；专业分配原则同第二十一条。  
　　第二十三条 除自主选拔录取(含体育特长)、艺术特长生外，我校认可各省(自治区、直辖市)教育行政主管部门、招生考试机构有关加分或降分投档的政策规定。     
　　第二十四条 保送生的选拔录取严格按教育部文件执行，录取办法详见《山东大学2009年招收普通本科保送生简章》。  
　　第二十五条 高水平运动员录取按国家有关规定执行，考生须通过我校组织的选拔测试和省级招生主管部门组织的高水平运动员测试或选拔比赛，高考成绩达到规定分数线，我校方能录取。  
　　第二十六条 外国语言文学类(非英语)专业提前单独招生、自主选拔录取(含体育特长)、艺术特长生、艺术类、体育类、国防生、少数民族预科班、定向西藏就业学生、内地新疆高中班、内地西藏班、港澳台及华侨学生的录取按国家有关文件和我校制定的相关招生简章、实施办法执行。  
　　第二十七条 除外语专业外，我校其它专业均不限制应试语种。但我校所有非外语专业，从大学二年级开始逐渐增加用英语讲授的课程。  
　　第二十八条 所有专业(类)录取男女生无比例限制(护理学专业不招收无该专业志愿的男生，国防生按国防生招生计划执行)。 
　　第二十九条 我校将及时公布录取结果，考生可登录我校本科招生在线查询。 
　　第六章 其它  
　　第三十条 考入山东大学总校的学生分别到学院所在校园报到；考入山东大学威海分校的学生到威海分校报到。 
　　第三十一条 新生入校后，按照国家和学校有关规定进行入学资格审查。不合格者，则取消其入学资格。 
　　第三十二条 普通本科学费和住宿费的收取，根据属地原­则，执行山东省物价局统一核定的标准。 
　　第三十三条 对中学阶段德、智、体、美全面发展，被我校录取的高考优秀学生、部分学科奥林匹克竞赛优秀保送生等颁发优秀新生入学奖学金(详见《山东大学2009年优秀新生入学奖学金评选办法》)。 
　　第三十四条 我校设有多种奖学金，奖励品学兼优的学生；针对家庭经­济困难学生，建立了以国家助学贷款为主，以助学金、学费减免、勤工助学为辅完善的资助体系。 
　　第三十五条 学生完成学业后，按照山东大学学籍管理规定等有关要求，符合毕业条件的颁发山东大学本科学历证书，达到学位授予条件的颁发学士学位证书。 
　　第三十六条 山东大学本科招生在线网址：http://www.bkzs.sdu.edu.cn，电话：0531-88364787，传真：0531-88564787。通讯地址：山东省济南市山大南路27号，山东大学招生办公室，邮编：250100。 
　　第七章 附则  
　　第三十七条 我校不委托任何中介机构或个人进行招生录取工作，不收取国家规定之外的任何费用。对以我校名义进行非法招生宣传等活动的中介机构或个人，我校保留依法追究其责任的权利。 
　　第三十八条 学校以往有关招生工作的政策、规定如与本章程相冲突，以本章程为准；本章程若有与国家有关政策不一致之处，以国家有关政策为准。
　　更多高考信息请访问：新浪高考频道 高考论坛 高考博客圈 高考贴吧
　　特别说明：由于各方面情况的不断调整与变化，新浪网所提供的所有考试信息仅供参考，敬请考生以权威部门公布的正式信息为准。

