11月2日美股专家坐堂实录
　　新浪财经讯 11月2日，美股专家warren王做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
    匿名问：  	老师好我今天可是提前排队的·求您解答600596套了17.2的成本要割肉吗以及不好(2010-11-02 18:07:55)　　专家[warren王]答： 	你追?的?位太高了，?股向上空?不是很大，可以考?逢高跑路(2010-11-02 20:19:27)
　　匿名问： 	Dear MR.Wang, how about avnr, thanks :)(2010-11-02 20:47:53)　　专家[warren王]答： 	?支股票昨天出?了很大的?幅，不???消息股，只能看?猓?皇峭顿Y的常?。突破5.8有望??走高(2010-11-02 21:00:08)
　　匿名问： 	王老师，我想投资美股，你给推荐一两只，谢谢。(2010-11-02 20:49:03)　　专家[warren王]答： 	我?不做股票推?的，您可以到我?公司首?www.chinesefn.com看看相?文章或者到我的博客http://t.sina.com.cn/warrenwang2008看一下，??(2010-11-02 20:52:26)
　　匿名问： 	王老师，我今天26.5元买了帝龙新材被套，我明天是走是留，请你给个建议。(2010-11-02 20:52:25)　　专家[warren王]答： 	今天很多?股都走出了帝?新材??的走?，注意防?回???(2010-11-02 20:53:04)
　　匿名问：  	王老师你好，请教您，000822是走还是留？(2010-11-02 20:54:22)　　专家[warren王]答： 	下?阻力在8.57(2010-11-02 21:05:16)
　　匿名问： 	王老师，分析下银行股600036招商吧(2010-11-02 20:57:17)　　专家[warren王]答： 	?股整??看是一?突破走?，阻力在15元(2010-11-02 21:06:17)
　　匿名问： 	LSCC评级下降，但是声称会用20M回购股票，目前应该如何操作，成本4.55(2010-11-02 20:57:48)　　专家[warren王]答： 	整?依然是整理走?，支?4.25，阻力5.88(2010-11-02 21:09:03)
　　匿名问： 	你最近总在说的回调买入，何时会回调呢？(2010-11-02 21:01:20)　　专家[warren王]答： 	??只能靠耐心了，股市是要抓住??和等待??，不是去猜?(2010-11-02 21:06:53)
　　匿名问： 	how do you think "S".,Warren王？ Thanks(2010-11-02 21:06:46)　　专家[warren王]答： 	?股基本面不是非常好，支?4.05，阻力在5元(2010-11-02 21:14:26)
　　匿名问： 	王老师你好，000039 中集集团，今天冲高回落，是见顶的信号吗，还能留吗？谢谢！！！(2010-11-02 21:07:20)　　专家[warren王]答： 	今天很多?股都出?了??一根K?，是不是??信?，?是要看後市的走?。??支?在17.5(2010-11-02 21:10:09)
　　匿名问： 	王老师好！请问000157、000901、002284这三支股，目前价位可以进吗？(2010-11-02 21:07:58)　　专家[warren王]答： 	0157今天未能有效突破16元，?注後市走?。 0901是突破走?，追?要注意?? 2284是突破走?(2010-11-02 21:13:43)
　　匿名问： 	老师，能分析一下000807和600723的后市？(2010-11-02 21:10:32)　　专家[warren王]答： 	0807短期有???象，注意?? 723高位整理走?，注意??(2010-11-02 21:22:39)
　　匿名问： 	王老师你好，我跟你做山东黄金，好佩服你的判断力。每天关注你的博文，谢谢你。(2010-11-02 21:11:23)　　专家[warren王]答： 	??，?迎???注我的?脖 http://t.sina.com.cn/warrenwang2008(2010-11-02 21:15:07)
　　匿名问： 	美元加元今天将如何走(2010-11-02 21:12:16)　　专家[warren王]答： 	美加仍有???找支?的需求(2010-11-02 21:15:49)
　　匿名问： 	how about C ?(2010-11-02 21:15:44)　　专家[warren王]答： 	目前仍然是整理走?，支?4，阻力4.26(2010-11-02 21:17:44)
　　匿名问： 	王老师，麻烦给看看002271东方雨虹和600549厦门钨业下一步走势，谢谢(2010-11-02 21:19:49)　　专家[warren王]答： 	2271短期注意回??? 699549是稀土概念，?幅已?很多，逢高???上(2010-11-02 21:29:18)
　　匿名问： 	王老师sol可以进入吗？(2010-11-02 21:20:03)　　专家[warren王]答： 	目前?有明???，?望?上(2010-11-02 21:24:04)
　　匿名问： 	老师您对美元的预测可谓准确，请问对近期美元怎么看，谢谢盼复(2010-11-02 21:21:05)　　专家[warren王]答： 	???注前期低?76.16的支?(2010-11-02 21:23:34)
　　匿名问： 	王老师你好。山东黄金看高到什么价位？，随便再看看000800要不要走掉。(2010-11-02 21:22:45)　　专家[warren王]答： 	山??金突破67.11有望看到80元！！！ 0800是整理走?，支?20.8(2010-11-02 21:27:58)
　　匿名问： 	王老师，你好，你看今天美股大盘会不会高开啊，个股IP形势如何(2010-11-02 21:23:10)　　专家[warren王]答： 	今天美股依然大幅高?，短期?注金融板?和科技板?的表?(2010-11-02 21:26:23)
　　匿名问： 	老王您好；很久没有来这里了，帮我分析一下000422喔麻烦麻烦(2010-11-02 21:24:05)　　专家[warren王]答： 	0422高位整理，注意??(2010-11-02 21:29:44)
　　匿名问： 	王老大，002235、002213、2248和2235这几只票还能进吗？谢谢(2010-11-02 21:28:24)　　专家[warren王]答： 	2235?支?14.2，阻力15.43 2213阻力在12.5 2248是高位整理走?，注意??(2010-11-02 21:31:14)
　　薛敏问： 	Warren，请教600470和600584这两支股票短线的情况，前者今天有新突破结果尾盘很不理想，600584最近走得很不得力。目前这两支股票都有部分赢利，但仓位较重。谢谢！(2010-11-02 21:29:15)　　专家[warren王]答： 	470短期遇阻，支?14.9 584高位整理走?，阻力14.55 今天就到??了，?迎大家???注我的?脖 http://t.sina.com.cn/warrenwang2008(2010-11-02 21:34:32)
　　匿名问： 	老师000933还能留吗？?(2010-11-02 21:30:32)　　专家[warren王]答： 	煤炭股最近是炒作的??之一，短期注意回???，逢高?磅(2010-11-02 21:32:27)
　　匿名问：  	王老师，QE2出来后美元是不是会跌得更加厉害？谢谢~!(2010-11-02 21:30:56)　　专家[warren王]答： 	???是要看市?的反?，??行事(2010-11-02 21:31:31)
　　匿名问： 	王老师，晚上好！请问002252何时才能上涨呢？现在如何操作为好呢？(2010-11-02 21:35:20)　　专家[warren王]答： 	2252已?是高位整理了，短期?有明?方向???迎大家???注我的?脖 http://t.sina.com.cn/warrenwang2008(2010-11-02 21:37:30)
　　

