6月24日美股专家坐堂实录
　　6月24日，美股专家aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	请问老师，dell私有化是个买入股票的机会吗？谢谢(2010-06-24 09:39:40)　　专家[aries高]答： 	我理解?中性消息，?目前走?看，也?有什麽太大的影?。(2010-06-24 21:41:05)
　　匿名问： 	高老师，C这两天走的很不好，您看可以买入了吗？短期。谢谢(2010-06-24 21:53:23)　　专家[aries高]答： 	?才有回答，可以看下(2010-06-24 22:04:16)
　　匿名问： 	高老师，你好！我想买入一些AAPL，你觉得什么价位合适呢？请一定抽空回答，多谢！(2010-06-24 21:55:06)　　专家[aries高]答： 	AAPL???支?在250附近，AAPL可以死等??，跌下?就不要?豫的?，?人??。(2010-06-24 22:13:15)
　　匿名问： 	高老师你好！Sina 36的成本，该怎么操作，短期支撑和主力在什么位置？(2010-06-24 21:55:39)　　专家[aries高]答： 	SINA日?短期有??的意思，如果短期操作可以考??利了?，短期支?37.0附近的年?支?。(2010-06-24 22:09:35)
　　匿名问： 	mr Gao，SOLF的有效支撑在哪里？谢谢(2010-06-24 21:56:51)　　专家[aries高]答： 	SOLF在7.0附近有一定的支?。(2010-06-24 22:37:59)
　　[手机用户]问： 	老师您好！请您看看菲达环保的压力位和支撑位在哪里？谢谢！(2010-06-24 21:58:02)　　专家[aries高]答： 	?股?力15.82位置，支?14.45附近(2010-06-24 22:42:04)
　　匿名问： 	Dear Aries, Do you think I can buy fas today? Thanks(2010-06-24 21:59:10)　　专家[aries高]答： 	FAS短期?注20.2前期高?的支?(2010-06-24 22:07:39)
　　匿名问： 	老师你好，WFC是之前 30 买的，一直跌，现在怎么办？非常感谢！(2010-06-24 21:59:15)　　专家[aries高]答： 	WFC日?是破位下跌走?，近期可能?指向更低的?格(2010-06-24 22:40:41)
　　[手机用户]问： 	老师目前 asia如何操作(2010-06-24 22:01:33)　　专家[aries高]答： 	22.4位置是ASIA的??支?，ASIA我仍然看好(2010-06-24 22:15:54)
　　匿名问： 	高老师，你好！你对MR公司的情况比较了解。请问你觉得MR的合理价位是多少？这次调整的支撑位是多少？现在可以介入吗？谢谢了！(2010-06-24 22:04:23)　　专家[aries高]答： 	MR如果有??再到28以下，可以考?。(2010-06-24 22:16:56)
　　匿名问：  	高大师；请教600326今天登记每10股送2股，6月10号也是每10股送2股是怎么回事不解？还有600805和600178要买你会选择哪支？谢谢！(2010-06-24 22:06:16)　　专家[aries高]答： 	我的?件上?示只有6月10?的??，??投?相?走?好些，不?目前也?有到了非?不可的形?。(2010-06-24 22:20:29)
　　匿名问： 	高老师，我支持大量购买RDN，我刚刚又进了3万股。(2010-06-24 22:06:58)　　专家[aries高]答： 	?股我不是很熟悉，日?看，目前是下跌后的??整理走?，短期支??注7.66位置。(2010-06-24 22:18:10)
　　匿名问： 	高老师你好，请问BAC什么价位进比较合适，支撑点是多少？(2010-06-24 22:07:21)　　专家[aries高]答： 	BAC短期支?14.8附近，在下方支?14.25，可以?注???位置的反???。(2010-06-24 22:37:05)
　　匿名问： 	老师好！下星期一汉钟精机解禁股上市，心理不踏实，明天要抛吗？短期支撑和压力是多少？谢谢(2010-06-24 22:11:40)　　专家[aries高]答： 	也不要?於?心，??都知道的消息，要么提早走，要么就?走了，有一次我在紫金??解禁的前一天走了，?果股?大?，?人??和大家分享一下。22.24附近是近期低?，技?上看，如果跌破，股?可能??一步走低。(2010-06-24 22:26:55)
　　匿名问： 	sir how about bx th(2010-06-24 22:15:13)　　专家[aries高]答： 	BX日?近期弱?整理中，短期不妨?望。(2010-06-24 22:35:53)
　　匿名问： 	老师，之前买入600630，看似突破均线，但是这两天又跌回来。请问你对后市如何看？短期支撑位于哪里？谢谢！(2010-06-24 22:18:05)　　专家[aries高]答： 	7.03位置是???支?，短期?是得看大??色，不?我?向於?有超跌反???。(2010-06-24 22:45:36)
　　匿名问： 	高大师；请教600326今天登记每10股送2股，6月10号也是每10股送2股是怎么回事不解？还有600805和600178要买你会选择哪支？谢谢！(2010-06-24 22:19:06)　　专家[aries高]答： 	??有回答，??了，看?了。(2010-06-24 22:20:50)
　　[手机用户]问： 	老师照顾下手机用户，怎么看600370，明天能进去吗？(2010-06-24 22:32:35)　　专家[aries高]答： 	?股底部整理中，如?特?情?，可能?持?整理，5.63是短期?力，可以?注一下。(2010-06-24 22:43:38)
　　匿名问： 	高老师，JADE后市如何？能否突破3元向上呢？我是该公司员工，公司业绩非常好。(2010-06-24 22:44:35)　　专家[aries高]答： 	3.0位置是重要的?力，?次均未能突破，可以???注?位置，近四?月??看，是??震?走?，?明???。(2010-06-24 22:51:34)
　　匿名问： 	fas今天怎么跌这么狠，美金融出什么问题了(2010-06-24 22:47:09)　　专家[aries高]答： 	FAS是三倍看?金融的指?，如果金融板?跌1%，它就要跌3%，??波??於比?常?的波?。(2010-06-24 22:52:57)
　　匿名问： 	现在是不是应该观望？空仓。(2010-06-24 22:56:12)　　专家[aries高]答： 	如果是短?操作，可以等等，但是如果是想持有一段??，那?有不?基本面的?股逢低可以考?逐步?入。比如AAPL,BIDU,CTRP等，如果???。今天就到??了，大家明天?，有??可以?我留言，在不忙?我?回答；http://blog.sina.com.cn /elliottgao(2010-06-24 23:03:58)

