3月1日美股专家坐堂实录
　　3月1日，美股专家warren王做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	按照做习俗：老师新年好！!!我的股票600096云天化(化肥)没有量，被深套，怎么办啊？谢谢老师教教我！!!(2010-03-01 20:20:52)　　专家[warren王]答： 	云天化?在是典型的??形?，耐心等待??行情的出?，支?在21.33(2010-03-01 21:15:41)
　　匿名问： 	老大您好，帮忙分析下MR的近期走势，有可能突破40吗？谢谢啦(2010-03-01 21:57:13)　　专家[warren王]答： 	MR的??在不??增之中，突破40的可能很大。(2010-03-01 22:15:28)
　　匿名问： 	你好王老师，看看SNDA,近期一直走跌，知道是什么原因吗？我的成本在49，近期有无解套的可能？？期待回复(2010-03-01 21:59:12)　　专家[warren王]答： 	40.87是SNDA周?的支??，???位非常重要，可?注。(2010-03-01 22:09:10)
　　匿名问： 	王老师，你不是说黄金能跌到1030吗，怎么1050就反弹了，到现在都1118了，还能跌下去吗？(2010-03-01 22:09:07)　　专家[warren王]答： 	我一直持有?金的?位，我??看好?金未??年的走?，市?上任何事情都??生的，1030-1044是?支??。(2010-03-01 22:10:41)
　　匿名问： 	请问STP最近怎么操作？会有好的表现吗？阻力和压力在哪？多谢！(2010-03-01 22:09:59)　　专家[warren王]答： 	12.01是STP的支??，???位，值得?注。?股近期震?整理的??比?大，而出??好的上升??可能不大，因?基本面?值?在已?基本反?到了?股上了。(2010-03-01 22:18:43)
　　sunyuzhan问： 	王老大好，请问中兴通讯走势如何，重仓，多谢 (2010-03-01 22:13:50)　　专家[warren王]答： 	中?通?最近2年的波?很大，?在是到?史新高?，?股中???可能是中?的CSCO,近期由於3G和4G的?展，??需求相信很大，??看好。(2010-03-01 22:24:14)
　　匿名问： 	奇怪，GAME跌了15%，按说这报表不说好吗也说不上坏？难道有什么内部消息？(2010-03-01 22:14:35)　　专家[warren王]答： 	花旗今天早?降??股，??合理?值在7元附近。(2010-03-01 22:21:32)
　　匿名问：  	王老师，sprd 技术形态如何？ 谢谢(2010-03-01 22:21:03)　　专家[warren王]答： 	?股?是高位震?，我?得有???高的??，他?主要做通?晶片，行???很大。(2010-03-01 22:25:53)
　　匿名问： 	SOLF后市如何？现在买入好吗？(2010-03-01 22:21:22)　　专家[warren王]答： 	?力在6.90,注意??和回?的??。(2010-03-01 22:29:00)
　　匿名问： 	神仙兄，再来分析下BAC，近期有点盈利了，是继续持有还是现在仍可买入呢？拜托回复！(2010-03-01 22:24:08)　　专家[warren王]答： 	BAC突破16.40,可??看?。非常抱歉，很多股友的??，希望明天和大家??交流，我在??的??是9-10PM北京??。(2010-03-01 22:30:09)

