6月23日美股专家坐堂实录
　　6月23日，美股专家aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	请问今天美股纳指大盘走势~有什么预测？(2010-06-23 18:40:49)
　　专家[aries高]答： 	UAUA支?20.57附近，S支?4.0附近。不???股，下跌不要接，如果支?位反?才有必要考?。(2010-06-23 22:42:16)
　　匿名问： 	老师，昨天全仓进入600630，后市如何？下方有效的支撑为于哪里？谢谢！(2010-06-23 22:08:54)
　　专家[aries高]答： 	?股近期出?底部超跌反?，支?6.5的近期低?。(2010-06-23 22:32:07)
　　匿名问： 	BAC的支撑是多少？谢谢您分析。(2010-06-23 22:12:32)
　　专家[aries高]答： 	14.77的前期高?。(2010-06-23 22:24:55)
　　匿名问： 	在昨天，我在最高买进了BTU,现在要如何抄作？(2010-06-23 22:14:59)
　　专家[aries高]答： 	BUT支?40.15附近，如果跌破，股?可??一步走低。(2010-06-23 22:26:37)
　　匿名问： 	小高老师，请您帮我看看000798,是否可以大幅补仓？支撑和压力位是多少？谢谢！!!!!!!!!!!!!!(2010-06-23 22:17:24)
　　专家[aries高]答： 	?股走?不?，?人?向看?，但是大?走??不配合，所以加???得不合?。(2010-06-23 22:36:45)
　　匿名问： 	老师，fas我在24.43买进，现在怎样抄作？(2010-06-23 22:17:58)
　　专家[aries高]答： 	如果不是短?操作，可以一直持有，?人想法。(2010-06-23 22:29:49)
　　匿名问： 	请问标普的代码是什么？谢谢(2010-06-23 22:18:08)
　　专家[aries高]答： 	SPX(2010-06-23 22:26:45)
　　专家[aries高]答： 	SPX(2010-06-23 22:26:45)
　　匿名问： 	老师你好，BAC现价可以买吗？非常感谢！(2010-06-23 22:25:17)
　　专家[aries高]答： 	BAC?位可以，但是目前是跌?，?有必要接，等止跌可以考?。(2010-06-23 22:33:57)
　　匿名问： 	高老师，请问现在可以买BZH吗？(2010-06-23 22:31:28)
　　专家[aries高]答： 	3.8附近是BZH的前期低?，目前有一定支?，不?在?有反?前，?是?防破位下跌。(2010-06-23 22:48:39)
　　匿名问： 	高老师！怎么不回答我的问题，RDN的双底怎么会没效了(2010-06-23 22:35:41)
　　专家[aries高]答： 	?在看，RDN是??震?了，支?7.71附近，?力10.5(2010-06-23 22:43:18)
　　匿名问： 	ATPG：11.8； CSIQ：11.5 还能解套吗？ 万分感激！！！！！(2010-06-23 22:38:41)
　　专家[aries高]答： 	ATGP，CSIQ?入的位置都不算高，?人?得解套?有??，但是??股波?比?大，短期是?高回落的走?，可能短期????被套著。(2010-06-23 22:53:46)
　　匿名问： 	小高老师，我3.7买的花旗，现在短期是否应该获利了结，等迟一点在进场呢(2010-06-23 22:39:13)
　　专家[aries高]答： 	C日?近期??整理，可以持有不?。(2010-06-23 22:51:08)
　　匿名问： 	高老师你好！002321可以介入吗？支撑位压力位多少啊，老师指点下谢谢了！！！(2010-06-23 22:44:17)
　　专家[aries高]答： 	?股底部整理中，?力18.45附近，如果?有放量突破，?有必要介入。(2010-06-23 22:57:48)
　　匿名问： 	高sir：BP调整是否结束？可以买入了吗？(2010-06-23 22:47:31)
　　专家[aries高]答： 	我?得?有必要???股，??太大，不划算，即使出?暴?，也都?有必要?得可惜。(2010-06-23 22:55:05)
　　匿名问： 	高老师，您好！000748已于9.6元(-20%)止损。请教老师：现在可以再介入吗？短期支撑和压力是多少？万分感激！！！(2010-06-23 22:57:32)
　　专家[aries高]答： 	目前?股底部??整理，?力8.35，不突破，不?。(2010-06-23 22:58:35)
　　匿名问： 	小高老师：AONE这个股，现在价位适合买进吗？我准备长期持有。(2010-06-23 22:58:29)
　　专家[aries高]答： 	AONE日?弱??有?，????有理由介入，可以???望。今天就到??了，大家明天?，下午?注美??利率??。have a good trading day!(2010-06-23 23:05:05)

