6月17日美股专家坐堂实录
　　6月17日，美股专家aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	Can i buy aapl now? please give me some suggetions, thanks,(2010-06-17 07:02:26)　　专家[aries高]答： 	APPL今天?中?探前期高?，短期???持??的概率比?大，但是?有必要追。(2010-06-17 21:58:46)
　　匿名问： 	AMD 9.2 成本 是走是留，请指教(2010-06-17 22:18:03)　　专家[aries高]答： 	AMD??仍然???，我?得解套??不大。(2010-06-17 22:58:11)
　　czchenzhuo问： 	老师，您对RINO怎么看？应该继续持有还是卖出？谢谢！(2010-06-17 22:20:00)　　专家[aries高]答： 	RINO短期遭遇50日?力，如果是短期交易，目前是?利了?的位置。(2010-06-17 22:56:51)
　　匿名问： 	今天drys为什么大跌？让我告诉你，是今天出了一则继续禁止深海采油的消息，为什么这消息会影响drys ？是因为drys现在开始转型做深海钻井平台出租了，目前在租2台在建3台。可是这些那些所谓的专家有提过吗？没有，不知道是刻意的还是缺乏研究，总之这些专家就是猪狗不如的东西特别的那个八蛋王。drys这段时间虽然跌了不少但我坚信，随着油价的铁定走高，drys的盈利和股价一定会飞起来。(2010-06-17 22:20:24)　　专家[aries高]答： 	我?得市?目前的反映就是?股?在?值的??，因??在市?不好看它，所以它?不起?，未?的事情很??，???是我?人??，?供大家?考，?得不?的，不要?，?持自己的??就是了。?迎不同的?音(2010-06-17 22:30:53)
　　匿名问： 	你好，高老师，BAC 15.50 买的，什么时候卖比较好，想听听你的意见，非常感谢！(2010-06-17 22:21:10)　　专家[aries高]答： 	如果不是短?交易，???格完全可以中期持有，?力17.1附近。(2010-06-17 22:56:04)
　　匿名问： 	我真的很不喜欢你的照片，显得你太年轻了，不能给我信任的感觉，能否换个成熟点的，呵呵！别生气啊(2010-06-17 22:23:30)　　专家[aries高]答： 	那是我三年前的了，哈哈，?在?子多了，怕?人?我老了，呵呵，just a joke(2010-06-17 22:54:15)
　　匿名问： 	高老师，您好！非常感激您对600536的指点！(已全部砍仓了)。可以重新介入吗？什么价格合适？万分感激！！！(2010-06-17 22:28:49)　　专家[aries高]答： 	目前日?看，我?得也?有什麽特?看好的支?，??走?，???，我也不好?。(2010-06-17 23:00:48)
　　匿名问： 	SIR, HOW ABOUT SGG?(2010-06-17 22:33:21)　　专家[aries高]答： 	SGG近期有止跌反??象，??增多，短期遭遇44.9附近50日EMA支?，不?我?向於看?。(2010-06-17 22:52:07)
　　匿名问： 	高老师好， 广而告之(CMM) 后市怎么看？可以买入吗， 谢谢. (2010-06-17 22:39:56)　　专家[aries高]答： 	CMM日?震?走?，基本面我不熟悉，但是技?走??不看好。(2010-06-17 22:52:51)
　　匿名问： 	高老师你好，请问百度什么价位合适进入呢，请帮忙解答谢谢 (2010-06-17 22:41:48)　　专家[aries高]答： 	BIDU?注68.5附近???支?。(2010-06-17 22:53:17)

