8月16日香港股市盘前重要消息一览
　　8月16日香港股市盘前重要消息一览：
　　业绩公布
　　种类
　　00002 中电控股 中期业绩
　　00046 科联系统 中期业绩
　　00095 新泽控股 中期业绩
　　00152 深圳国际 中期业绩
　　00181 闽港控股 中期业绩
　　00236 香港生力啤 中期业绩
　　00240 利基控股 中期业绩
　　00268 金蝶国际 中期业绩
　　00359 海升果汁 中期业绩
　　00546 阜丰集团 中期业绩
　　00610 惠记集团 中期业绩
　　00716 胜狮货柜 中期业绩
　　00733 合富辉煌 中期业绩
　　00800 A8电媒音乐 中期业绩
　　00802 宏霸数码 中期业绩
　　00806 惠理集团 中期业绩
　　00861 神州数码 第一季度业绩
　　00881 中升控股 中期业绩
　　00956 新天绿色能源 中期业绩
　　00990 荣晖国际 中期业绩
　　01087 泓淋科技 中期业绩
　　01098 路劲基建 中期业绩
　　01138 中海发展股份 中期业绩
　　01368 特步国际 中期业绩
　　01863 思嘉集团 中期业绩
　　01898 中煤能源 中期业绩
　　01988 民生银行 中期业绩
　　02007 碧桂园 中期业绩
　　02323 至卓国际 中期业绩
　　02700 合俊集团 中期业绩
　　03308 金鹰商贸 中期业绩
　　03366 华侨城(亚洲) 中期业绩
　　新股上市
　　发行价 ($) 行使价 ($)
　　65972 港交瑞信一乙牛A 0.25 124.00
　　65974 港交瑞信一乙熊B 0.25 156.00
　　65975 腾讯瑞信一甲熊I 0.25 198.00
　　65976 腾讯瑞信一甲熊J 0.25 208.00
　　65977 腾讯瑞信一乙熊C 0.27 218.00
　　65978 恒指瑞银二四熊B 0.25 21，600.00
　　65981 恒指瑞银二三熊F 0.25 21，000.00
　　65984 恒指瑞银二三熊G 0.25 20，800.00
　　65985 恒指瑞银二四熊C 0.25 20，500.00
　　65986 恒指瑞银一乙熊H 0.25 20，200.00
　　65987 恒指瑞银二三熊H 0.25 20，200.00
　　65991 恒指瑞银二一熊Y 0.25 20，000.00
　　65992 恒指瑞银一乙熊J 0.25 19，700.00
　　65998 恒指瑞银二二熊H 0.25 19，600.00
　　65999 恒指瑞银二五牛B 0.55 13，800.00
　　66000 恒指瑞银二五牛C 0.42 14，300.00
　　66001 恒指瑞银二四牛D 0.25 17，000.00
　　66003 恒指瑞银二四牛E 0.25 17，500.00
　　66004 恒指瑞银二三牛I 0.25 17，900.00
　　66005 恒指瑞银二三牛J 0.25 18，100.00
　　66007 恒指瑞银二四牛F 0.25 18，200.00
　　66008 恒指瑞银二四牛G 0.25 18，400.00
　　66009 恒指瑞银二三牛K 0.25 18，500.00
　　66010 恒指瑞银二二牛I 0.25 18，700.00
　　66011 中企瑞银二二牛A 0.25 8，700.00
　　66012 恒指瑞银一乙牛K 0.25 18，800.00
　　66014 恒指瑞银二二牛J 0.25 19，000.00
　　66017 恒指瑞银一甲牛X 0.25 19，300.00
　　66018 恒指瑞银二一牛Z 0.25 19，400.00
　　66019 恒指瑞银二一牛D 0.25 19，600.00
　　66020 恒指瑞银一乙牛L 0.25 19，900.00
　　66022 杜工苏皇一乙熊C 0.25 12，400.00
　　66023 杜工苏皇一乙牛D 0.25 8，600.00
　　66024 恒指法巴二三熊A 0.25 19，800.00
　　66025 恒指法巴二三熊B 0.25 20，000.00
　　66026 恒指法巴二三熊C 0.25 20，200.00
　　66027 恒指法巴二三熊D 0.25 20，600.00
　　66032 建行瑞银二二牛B 0.25 4.50
　　66033 海油瑞银二三牛A 0.27 11.08
　　66035 港交瑞银二二牛A 0.25 112.88
　　66036 A中瑞银二二牛C 0.25 9.70
　　66039 工行瑞银二二牛A 0.25 4.20
　　66044 和黄瑞银二二牛C 0.25 62.00
　　派息备忘 (除净日)
　　金额 派息日 种类
　　00213 乐声电子 港元： 4.00 仙 2011/09/26 末期股息
　　00252 华信地产财务 港元： 3.00 仙 2011/08/25 末期股息
　　01123 中港照相 港元： 2.00 仙 2011/09/08 末期股息
　　01123 中港照相 港元： 1.00 仙 2011/09/08 特别股息
　　01151 依利安达 美元： 15.00 仙 2011/08/31 中期股息
　　01382 互太纺织 港元： 19.00 仙 2011/08/29 末期股息
　　02327 积华生物医药 港元： 6.00 仙 2011/08/26 末期股息
　　02343 太平洋航运 港元： 5.00 仙 ( 美元： 0.60 仙 ) 2011/08/29 中期股息
　　股本变化
　　种类 详情
　　08395 高诚资本 供股 每1股合并股份供1股，每股供$0.08，每供2股可认购1股可赎回可换股优先股之认股权，每股认购价0.10美元
　　证券到期日
　　11448 港交美林一零八C
　　23496 中联瑞银一零八购
　　23682 中联麦银一零八A
　　24968 中联美林一零八A
　　28668 化肥荷合一零八购
　　28852 中化渣打一零八A
　　28871 建行苏皇一零八购
　　28879 海油瑞银一零八购
　　29793 建行瑞银一零八B
　　63078 A中德银一八牛E
　　68576 中寿德银一八牛C

