5月27日美股专家坐堂实录
　　5月27日，美股专家warren王做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	王老师，推断一下中长线，比如明年1月的美国期指如何？谢谢(2010-05-27 18:57:37)　　专家[warren王]答： 	我认为SPX期指在10-12月份会接近1200点附近，因为美国中期选举的关系，随后，我觉得会有继续波动向下的可能，欧洲和中国经济的发展，以及美国本身经济的情况，都值得大家关注。(2010-05-27 20:16:01)
　　匿名问： 	匿名问： 王老师，你真准啊，002110突破昨天的高点了，明天要不要出去，短期压力是多少？ (2010-05-27 20:33:52)我要回答 专家[warren王]答： ?股我又???，我真的不?得了。(2010-05-27 20:38:33) 不行啊，王老师，你昨天说的啊，你再帮着看看吧(2010-05-27 20:48:24)　　专家[warren王]答： 	看我前面的分析，大?明天可能大?，先拿住，??股?有大?的行情，明天看。(2010-05-27 20:52:01)
　　bigbrown26问： 	王老大，这次反弹是否就像您说的要乘机减仓呢，因为大环境还是没有改善，是吗(2010-05-27 20:53:11)　　专家[warren王]答： 	如果美股造好的?，特?是?形??看，?波反??持?一段??，所有先不要急著出?。(2010-05-27 20:58:38)
　　匿名问： 	老师，可以分析一下600651和002083的后市吗？阻力位和支撑位在什么地方？谢谢！(2010-05-27 20:55:10)　　专家[warren王]答： 	500651：大股?最近增持，走的比?好。11.89能?企?的?，我??????走高。 002083:11?力位置比?明?。(2010-05-27 21:13:10)
　　匿名问： 	王老师，你对C的判断准了，那么BAC你怎么看？ 15.40 - 16.00还能进吗？不能的话，又怎么操作呢？(2010-05-27 20:56:08)　　专家[warren王]答： 	BAC 通道?力在16附近，向上?力在16.36,所以短期上?空?有限，在16.36-16??也??走?整理??，我?得??操作?度是有的，一定要有耐心，近期?支金融股的??是比?猛的，一?是C，另外一?是GS，?然GS?是逼空的行情。(2010-05-27 21:05:06)
　　匿名问： 	王老师好！SPX您看1200，岂不是形成W底了，真到那时，那还得涨喔？(2010-05-27 20:57:44)　　专家[warren王]答： 	可能是???的??，但是我?先?注1100?的?力，因????力?式最??的，一定?在???附近有所反?的，要警惕著??位。(2010-05-27 20:59:52)
　　匿名问： 	谢谢你啊王哥！不管对错我都感谢你，请你吃海鲜！呵呵~！~~002110的买主(2010-05-27 20:58:40)　　专家[warren王]答： 	如何?我吃，支付?，?是打款?我，未?五天如果?的?，?打款?我，我?吃?的照片?在我?脖?面，以表感?，哈哈哈哈。(2010-05-27 21:07:04)
　　[手机用户]问：  	002118 可以介入吗，什么价左右入好？002118 可以介入吗，什么价左右入好？002118 可以介入吗，什么价左右入好？002118 可以介入吗，什么价左右入好？002118 可以介入吗，什么价左右入好？(2010-05-27 21:03:40)　　专家[warren王]答： 	?股?很小，我?著?下，明天高?的?，一路可能走高到13.69阻力位置。(2010-05-27 21:09:59)
　　匿名问： 	王老师您好！听您的C在3.6进了批货，但还想问一下您，BIDU和SINA目前的价位是否可以介入，谢谢您，一直支持您的美股爱好者。(2010-05-27 21:05:59)　　专家[warren王]答： 	SINA比?怪。BIDU?是在整理，我已???了一些。(2010-05-27 21:07:59)
　　匿名问： 	老大您好“没你的时候心真没底600196快拿不住了还有希望吗？谢谢。。。。。。。。。。。。(2010-05-27 21:10:58)　　专家[warren王]答： 	?什麽拿不住，?股?是在上升??之中，持有！(2010-05-27 21:24:27)
　　匿名问： 	王老师您好！好久没见了，很想啊。 med 后期如何？ 执掌和压力在哪？ 谢谢！(2010-05-27 21:11:37)　　专家[warren王]答： 	你好，?在?股?在上升??上，可??持有，30附近是支??。(2010-05-27 21:17:20)
　　匿名问： 	呵呵，王老师，你真逗！我要请你吃海鲜需要你的手机号码你能给吗？002110的买主(2010-05-27 21:13:15)　　专家[warren王]答： 	可以呀，等你??后，我?你，不??，那能吃你的?呀。(2010-05-27 21:18:36)
　　匿名问： 	王老师好！现在空仓，什么时候买入好？SPX到1100点受阻回调时，还是今天？请务必指教，多多谢了！(2010-05-27 21:15:46)　　专家[warren王]答： 	?我就?不清楚了，我又不是算命先生，但是???我?得一周之??到了，?上下震?一下。(2010-05-27 21:26:37)
　　匿名问： 	这市场真怪，之前股市涨，黄金涨。现在是股市涨黄金跌。(2010-05-27 21:15:54)　　专家[warren王]答： 	?不是一定的，??因果??一定要??度?。(2010-05-27 21:20:16)
　　匿名问： 	王老大，我每天都看你的博客，你博客认为下半年的股市风险大，而且认为本次反弹可能在10600形成右肩后再下跌，但今天你看好10-12月份标普会到 1200，是否有矛盾呢，还是认为再经过一两个月下跌后将重拾升势，希望得到你的解惑，谢谢(2010-05-27 21:19:31)　　专家[warren王]答： 	有不?定因素，因??洲和中?的??，今年下半年可能是先?后抑，?一般投?人的??以把握。(2010-05-27 21:21:28)
　　匿名问： 	王老大你好，盘前C的价位突破4了，现在还能进吗帮忙解答一些，谢谢(2010-05-27 21:21:04)　　专家[warren王]答： 	昨天的??是支?了.3.90附近，?股???是向上的，?中的波?太快了，我看好?股到200天?附近@4.36。(2010-05-27 21:22:58)
　　匿名问： 	王老师您好，我是做美股期指的，很想听听您对未来走势的看法，谢谢。(2010-05-27 21:25:44)　　专家[warren王]答： 	??天波?很大，?有累?了吧，身?可是本?，短期我?得在1098-1100?有波?，但是不建?做空，?注?元，澳元和SPX的??，我?得非常重要。(2010-05-27 21:28:07)
　　匿名问： 	还有最后2分众 老王 帮我看看中科三环 现价可以追吗 我记得你不建议追高的 看看这股(2010-05-27 21:27:22)　　专家[warren王]答： 	?股和包?稀土是一板?的吧，最近很??。大家晚安！我?明天?。8.00PM(2010-05-27 21:30:15)

