5月31日香港股市盘前重要消息一览
　　证券时报网05月31日讯 
　　5月31日香港股市盘前重要消息一览：
　　新股上市
　　发行价 ($) 行使价 ($)
　　08193 汉华专业服务 0.72 N/A
　　11982 海油美林一一零A 0.15 18.49
　　11983 中寿美林一十二购 0.19 26.29
　　11984 长实美林一零九购 0.24 130.89
　　11985 海油美林二零二沽 0.25 16.99
　　11986 中寿美林一十二沽 0.25 24.99
　　11987 中移麦银一十二购 0.25 72.50
　　11988 国信渣打二零四购 0.60 4.44
　　11989 海螺渣打二零四购 0.48 32.88
　　11990 高传花旗二零二购 0.15 12.02
　　11991 东风花旗二零一购 0.15 16.86
　　11992 工行花旗一十二购 0.30 6.28
　　11993 汇丰花旗一十二购 0.30 83.88
　　11994 汇丰花旗一零九C 0.15 88.89
　　64481 恒指美林一乙牛A 0.30 19,700.00
　　64483 恒指美林一乙牛B 0.25 20,200.00
　　64486 恒指美林一乙牛C 0.25 20,700.00
　　64487 恒指美林一乙熊D 0.25 23,300.00
　　64488 恒指荷合一乙牛A 0.25 20,400.00
　　64490 恒指荷合一乙牛B 0.25 21,200.00
　　64491 恒指荷合一乙牛C 0.25 22,000.00
　　64492 恒指荷合一乙熊D 0.25 23,600.00
　　64493 恒指荷合一乙熊E 0.25 24,400.00
　　64494 恒指瑞信一九熊J 0.25 23,100.00
　　64495 恒指瑞信一甲牛Q 0.25 22,500.00
　　64496 港交瑞信一十牛A 0.25 154.00
　　64497 腾讯瑞信一九熊F 0.25 231.00
　　64498 A中瑞信一九熊D 0.25 13.60
　　64499 A中瑞信一十牛A 0.25 11.50
　　64500 招行汇丰二二牛A 0.25 17.80
　　64501 中化汇丰二二熊A 0.25 8.58
　　64502 神华汇丰二二熊A 0.25 40.88
　　64503 海油汇丰二二熊A 0.41 21.88
　　64504 A中汇丰二二熊A 0.25 14.58
　　64505 恒指瑞银一九熊U 0.25 23,100.00
　　业绩公布
　　种类
　　00179 德昌电机控股 全年业绩
　　00303 伟易达 全年业绩
　　00417 谢瑞麟 全年业绩
　　00508 其士泛亚 全年业绩
　　00551 裕元集团 中期业绩
　　01093 中国制药 第一季度业绩
　　02882 香港资源控股 中期业绩
　　03813 宝胜国际 中期业绩
　　08225 万全科技药业 全年业绩
　　派息备忘 (除净日)
　　28038 恒指瑞银一零五J
　　28135 汇丰中银一零五购
　　28141 江铜德银一零五购
　　28150 和黄高盛一零五B
　　28232 和黄德银一零五B
　　28311 和黄高盛一零五C
　　28322 洋保瑞信一零五B
　　28323 恒指瑞信一零五C
　　28357 和黄荷合一零五C
　　28358 和黄荷合一零五D
　　28386 和黄瑞银一零五购
　　28389 建行德银一零五C
　　28402 和黄高盛一零五D
　　28419 中寿瑞银一零五B
　　28432 新地高盛一零五购
　　28455 工行瑞信一零五C
　　28543 恒指美林一零五H
　　28671 中寿摩通一零五B
　　28708 恒指苏皇一零五沽
　　28752 恒指巴银一零五D
　　28756 恒指巴银一零五E
　　28834 恒指瑞信一零五A
　　28835 恒指瑞信一零五B
　　28837 恒指瑞信一零五D
　　28838 恒指瑞信一零五E
　　28844 中油美林一零五B
　　28884 恒指瑞银一零五K
　　28914 恒指瑞信一零五F
　　28918 恒指瑞信一零五G
　　63762 恒指法巴一五牛D
　　64002 恒指法巴一五牛G
　　64112 恒指法巴一五牛H
　　64248 恒指法巴一五牛I
　　64339 恒指摩通一九熊E
　　64375 恒指法兴一九熊Y
　　64378 恒指瑞银一九熊Q
　　64379 恒指瑞信一八熊I
　　64390 恒指法兴一九熊Z
　　64391 恒指法兴一九熊Q
　　64392 恒指法兴一九熊R
　　64396 恒指瑞信一九熊U
　　64398 恒指瑞信一九熊I
　　64451 恒指法巴一八熊Z
　　64452 恒指法巴一八熊F
　　64458 恒指法巴一八熊A
　　64460 恒指法巴一八熊I
　　64461 恒指比联一甲熊A
　　64470 恒指瑞银一八熊G
　　64533 恒指德银一五熊A
　　64749 恒指德银一五牛C
　　64750 恒指德银一五牛D
　　64821 恒指瑞银一五熊A
　　64907 恒指汇丰一五熊A
　　64908 恒指汇丰一五熊B
　　64965 恒指摩通一五熊A
　　64978 恒指德银一五熊F
　　64981 恒指德银一五熊G
　　65492 恒指德银一五熊K
　　65593 恒指比联一五熊A
　　65596 恒指比联一五熊B
　　65613 恒指瑞银一五熊C
　　65618 恒指德银一五熊L
　　65619 恒指德银一五熊M
　　65666 恒指高盛一五熊H
　　65709 长实法兴一五熊D
　　65711 中寿法兴一五熊B
　　65712 中寿法兴一五熊C
　　65716 中移法兴一五熊C
　　65717 中移法兴一五熊D
　　65724 港交法兴一五熊C
　　65728 港交法兴一五熊D
　　65731 汇丰法兴一五熊C
　　65732 和黄法兴一五牛A
　　65733 和黄法兴一五牛B
　　65738 新地法兴一五熊C
　　65739 新地法兴一五熊D
　　65773 恒指德银一五熊N
　　65795 恒指法兴一五熊A
　　65796 恒指法兴一五熊B
　　65797 恒指法兴一五熊C
　　65798 恒指法兴一五熊D
　　65799 恒指法兴一五熊E
　　65800 恒指法兴一五熊F
　　65802 恒指法兴一五熊G
　　65803 恒指法兴一五熊H
　　65804 恒指法兴一五熊I
　　65805 恒指法兴一五熊J
　　65814 恒指比联一五熊C
　　65828 恒指瑞银一五熊D
　　65829 恒指瑞银一五熊E
　　65874 恒指比联一五熊D
　　65875 恒指比联一五熊E
　　65970 恒指比联一五熊F
　　65973 恒指比联一五熊G
　　66028 恒指高盛一五熊I
　　66052 恒指瑞银一五熊G
　　66053 恒指瑞银一五熊H
　　66120 恒指法兴一五牛U
　　66121 恒指法兴一五牛V
　　66122 恒指法兴一五牛W
　　66123 恒指法兴一五牛X
　　66124 恒指法兴一五牛Y
　　66130 恒指汇丰一五熊C
　　66252 恒指瑞银一五牛I
　　66287 恒指瑞银一五牛J
　　66288 恒指瑞银一五牛K
　　66297 恒指瑞银一五牛M
　　66300 恒指瑞银一五牛N
　　66349 A中法兴一五牛A
　　66356 A中法兴一五熊B
　　66381 恒指德银一五熊V
　　66414 长实法兴一五牛E
　　66415 长实法兴一五牛F
　　66416 中寿法兴一五熊D
　　66417 中寿法兴一五熊E
　　66418 汇丰法兴一五牛D
　　66419 汇丰法兴一五牛E
　　66421 新地法兴一五牛E
　　66422 新地法兴一五牛F
　　66444 恒指德银一五牛Z
　　66449 恒指比联一五牛H
　　66450 中寿德银一五熊C
　　66452 港交德银一五熊A
　　66542 恒指苏皇一五牛A
　　66545 恒指苏皇一五牛B
　　66560 中企苏皇一五牛A
　　66599 汇丰瑞信一五牛A
　　66607 腾讯瑞信一五牛A
　　66711 和黄法兴一五牛E
　　66722 恒指瑞信一五牛O
　　66723 恒指瑞信一五牛N
　　66913 中企德银一五牛A
　　66941 A中瑞银一五牛A
　　66961 工行瑞银一五牛A
　　66977 恒指比联一五牛I
　　67022 恒指法兴一五牛Z
　　67149 恒指瑞银一五熊P
　　67171 恒指美林一五熊B
　　67220 恒指瑞信一五熊U
　　67221 恒指瑞信一五熊V
　　67267 腾讯瑞信一五牛B
　　67297 恒指瑞信一五熊Z
　　67308 恒指瑞银一五熊S
　　67332 恒指德银一五熊X
　　67403 中寿法兴一五熊H
　　67405 和黄法兴一五牛F
　　67453 恒指瑞信一五熊M
　　67454 恒指瑞信一五熊P
　　67499 中企德银一五熊B
　　67571 恒指瑞信一五熊Q
　　67587 汇丰法兴一五牛F
　　67594 和黄法兴一五熊I
　　67595 和黄法兴一五熊J
　　67601 A中法兴一五牛D
　　67603 腾讯法兴一五牛D
　　67626 恒指比联一五熊T
　　67667 恒指德银一五熊I
　　67705 恒指比联一五牛U
　　67796 恒指比联一五熊S
　　67849 洋保苏皇一五牛A
　　67853 海油苏皇一五牛A
　　67854 东风苏皇一五牛A
　　67859 江铜苏皇一五牛A

