4月21日美股专家坐堂实录
　　4月21日，美股专家曾文俊做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	你好，纳斯达克的CPBY你如何看？最近波动比较厉害。该继续持有吗？(2010-04-21 04:30:14)　　专家[曾文俊]答： 	7块位置是较大的压力，如果再次上冲乏力，考虑减仓。(2010-04-21 21:30:14)
　　匿名问： 	曾老师：GS前天刚刚买入($159)，可以持有吗？(2010-04-21 21:41:40)　　专家[曾文俊]答： 	尚可，上方的170的位置注意压力(2010-04-21 22:01:39)
　　Neil问： 	曾老师好，我最近看了一些美国的评论，都说金融界(JRJC)被低估了。我之前也向您请教过JRJC这支股，目前国内A股市场不温不火，像JRJC这样的 small capital股票何时可以出现上涨的势头？美国人undervalue的说法可靠吗？金融界最近小涨了一些，不过我也没看到这家公司有什么利好消息发布啊。谢谢您(2010-04-21 21:46:00)　　专家[曾文俊]答： 	昨天谈过，jrjc的走势会滞后于国内市场。至于是否价值低估就难说了，相信随着A股的繁荣，金融界是会有表现机会的。 (2010-04-21 21:59:51)
　　匿名问： 	曾老师好，MON怎么看？(2010-04-21 21:49:21)　　专家[曾文俊]答： 	不断新低，观望即可。(2010-04-21 22:03:14)
　　匿名问： 	曾老师，您好！首先感谢您对000759(已有赢利)的指点！请教老师：目前已到您说的11.5的压力位，是获利了结呢？还是减仓为好？ 再次感谢！谢谢！！！(2010-04-21 21:49:30)　　专家[曾文俊]答： 	这个压力位置还是有一定力度的，建议先减仓为好(2010-04-21 22:09:33)
　　匿名问： 	曾老师您好，请问GAME、PWRD等游戏股最近都比较疲软，您判断其后期支撑点和压力点在多少，期待您的答复，谢谢您！！(2010-04-21 21:53:38)　　专家[曾文俊]答： 	这两只游戏股不断的新低，不太建议关注其支撑。压力均以前个低点为参照即可。(2010-04-21 22:11:50)
　　匿名问： 	曾老师，请问EDU最近的走势如何？怎么一直在疯涨？压力和阻力在哪里呢？多谢！(2010-04-21 21:54:13)　　专家[曾文俊]答： 	edu已经新高了，原因在于其不大受经济周期影响。新高的股票，没什么技术压力，就看走势变弱之后了。(2010-04-21 22:14:31)
　　匿名问： 	曾老师，我是新来这里的，才几天，怎么看到你一来就有人骂呢？什么原因，难道真是再忽悠(2010-04-21 21:59:00)　　专家[曾文俊]答： 	这个我也很疑惑啊。我一不拉会员，二不当庄托，三这一年以来给了5，6次买卖建议只错了一次止损100点大盘。不知为何有一个人没由头的骂。问他原因也不说。新来的朋友建议看我博客，相信自有判断 blog.sina.com.cn/wenjunzeng(2010-04-21 22:08:07)
　　匿名问： 	先生请问axr4块2的成本，它还有上涨空间吗？是否等待？多谢了(2010-04-21 21:59:04)　　专家[曾文俊]答： 	axr??现价14左右啊(2010-04-21 22:17:02)
　　匿名问： 	老师请帮助分析aai，是否今天可以补仓。(2010-04-21 21:59:11)　　专家[曾文俊]答： 	不建议，6块压力，5块支撑，如想补仓，等待支撑位置。(2010-04-21 22:21:58)
　　匿名问：  	老师现在能买cagc吗谢谢了(2010-04-21 22:01:20)　　专家[曾文俊]答： 	持续下跌后的反弹确认20位置。不建议现在买入。(2010-04-21 22:23:12)
　　匿名问： 	曾老师好，600029. 7.55进的，还能持有吗？(2010-04-21 22:02:14)　　专家[曾文俊]答： 	上次坐堂谈过该股，因为人民币升值题材仍在继续，因此还可持有。(2010-04-21 22:25:09)
　　匿名问： 	请问曾老师，能不能帮我看下国外的一只股票，叫爱尔兰银行BANK OF IRELAND (BKIR.I)(2010-04-21 22:05:21)　　专家[曾文俊]答： 	现在金融股不是巨无霸型的，波动都剧烈。建议谨慎即可。(2010-04-21 22:26:42)
　　匿名问： 	小曾老师，花旗略有盈利，是否该获利了结，后市到$6的机会大吗？谢谢！(2010-04-21 22:11:04)　　专家[曾文俊]答： 	在考虑6块新高位置之前，建议先考虑去年高点的压力。花旗在今天的博客文章中特别提及了。(2010-04-21 22:24:05)
　　匿名问： 	你好， ESLR的成本是2。8， 还可以持有等待？(2010-04-21 22:11:45)　　专家[曾文俊]答： 	已经深套。目前该行业有好转迹象，建议还是持有吧。(2010-04-21 22:27:57)
　　匿名问： 	想问600178和000410还有前途吗？如果有你看高多少？阻力和支撑？谢谢(2010-04-21 22:11:58)　　专家[曾文俊]答： 	都是短线强势股，应该还会有表现机会。16和14的支撑需要关注。(2010-04-21 22:29:11)
　　匿名问： 	edu/sina/ctrp/baidu。建议增持那支股票(2010-04-21 22:13:16)　　专家[曾文俊]答： 	强者恒强吧。基本面保持稳定的前提下，建议逢低操作强势股。(2010-04-21 22:31:24)
　　匿名问： 	小曾老师：你好！周一就想请教重仓股沈阳化工和太钢不锈走势，可惜你没来。麻烦赐教。(2010-04-21 22:16:43)　　专家[曾文俊]答： 	化工和钢铁的走势一直都很平，虽然行业业绩这几个月复苏的挺好。主要在于机构对于后市信心不足吧。大盘也一直远弱于海外市场，这也是我们没有办法的事情。(2010-04-21 22:33:46)
　　匿名问： 	老师，大盘怎么还不回调啊，我做空了金融板块(SEF)，小亏了一点。(2010-04-21 22:24:13)　　专家[曾文俊]答： 	虽然我们对上涨的幅度有了些谨慎，不过这里做空仍然不是好的选择。美股在11800才是较大的压力，如果开空单还是应该在更有把握的地方操作较好。(2010-04-21 22:35:42)
　　匿名问： 	老师现在能买 CREE 吗？(2010-04-21 22:24:22)　　专家[曾文俊]答： 	今天刚开始一个较大幅度的回调。介入时机一般都应该在2波调整后更加稳妥。(2010-04-21 22:37:39)
　　匿名问： 	曾老师好，IDT最近大涨，是不是考虑获利出手呢？担心会有回调，麻烦您给点指点意见(2010-04-21 22:28:51)　　专家[曾文俊]答： 	idt最近一直呈现了上升趋势，我认为在10块位置的压力是需要考虑了结获利的。之前应还可持有。(2010-04-21 22:40:22)
　　匿名问： 	老师，我 $26.3 重仓买进 T ，现割肉呢还是等等，您觉得还有戏吗？R/S ？(2010-04-21 22:32:21)　　专家[曾文俊]答： 	26的支撑，27的压力，我认为尝试27的可能还是较大的。(2010-04-21 22:41:59)
　　匿名问： 	AA 跌了好几天了？能买吗？(2010-04-21 22:33:13)　　专家[曾文俊]答： 	尚不建议，大宗商品还有调整可能。(2010-04-21 22:48:54)
　　匿名问： 	曾老师，RTP是否到支撑位了，可以介入吗？谢谢！(2010-04-21 22:37:32)　　专家[曾文俊]答： 	先不急，原因同AA，大宗商品仍有调整可能(2010-04-21 22:50:24)
　　匿名问： 	Sir, How do you think AIG? Support?(2010-04-21 22:42:06)　　专家[曾文俊]答： 	39-40的支撑。可能还有一小波上冲就遭遇上方较大的压力了。 (2010-04-21 22:51:39)
　　匿名问： 	曾老师，您好！请帮忙分析一下UNG走势。谢谢。(2010-04-21 22:42:51)　　专家[曾文俊]答： 	不断新低，前两天开的天然气论坛似乎也没有起到什么作用。(2010-04-21 22:52:28)
　　匿名问： 	曾老师，很高兴见到你，能分析GS吗？161进的！谢谢！(2010-04-21 22:42:56)　　专家[曾文俊]答： 	前面有分析，注意170的压力区域。(2010-04-21 22:54:03)
　　匿名问： 	曾老师，我联通7块成本，万科11块成本，目前国内对地产的调控政策让人感到后怕， 我是否该忍痛割肉呢？老师，这俩只股如果拿一年，您看能回本吗？万分感激(2010-04-21 22:43:21)　　专家[曾文俊]答： 	联通应还有3g的炒作，房产现在确实难说。国家的地产调控政策结果我们是难预料的。(2010-04-21 22:53:45)
　　匿名问： 	请教专家000878与000930丰原生化后市的上升空间有多大？我握了几年，最近因资金问题，想出掉其中一个，请帮忙给个建议。多谢了！！(2010-04-21 22:47:36)　　专家[曾文俊]答： 	短期丰原生化更强势，长期经济复苏的好的话云南铜业空间大。大家晚安了，明天见。(2010-04-21 22:55:10)

