8月4日美股专家坐堂实录
    8月4日，美股专家Warren王做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：请问老师，看多和看空美元指数，应该买什么？谢谢(2010-08-04 16:42:02)　　专家[warren王]答： 看多的话，应该是UUP 看跌的话，应该是UDN 都是2倍看涨和看跌的。(2010-08-04 20:46:39)
　　匿名问： 王老师，LSCC还能持有吗？谢谢。(2010-08-04 21:03:56)　　专家[warren王]答： LSCC营收在持续增长，股价表现也不错，继续持有。(2010-08-04 21:27:01)
　　匿名问： 请问DELL怎么样？谢谢！(2010-08-04 21:06:25)　　专家[warren王]答： DELL正在形成头肩底的形态，颈线压力在13.91,突破了，上涨趋势可能就将确立，当然我们还要关注大盘。(2010-08-04 21:12:34)
　　匿名问： sir how about nok ank rimm thanks(2010-08-04 21:06:49)　　专家[warren王]答： 这些都是手机的输家，我建议多关注AAPL,如果做业绩不好的股票，很累的。(2010-08-04 21:08:52)
　　匿名问： 王老师 F怎样 帮看下(2010-08-04 21:07:38)　　专家[warren王]答： F还是要去创新高的，不过14.68附近的阻力会非常大。(2010-08-04 21:09:39)
　　匿名问： 王老师，你好我觉得你看大盘很准，您说现在还可不可以再买入A股，还有中国建筑，还可买吗？山东黄金还可买吗？(2010-08-04 21:13:42)　　专家[warren王]答： 我看好A股还要涨，这在最近两周的分析上讲的比较清楚了，我无法对个股说太多，我主要持有中金和山东黄金，因为我没有太多时间去研究A股，但是我很关注中国概念股，在美国市场上交易的。(2010-08-04 21:24:57)
　　匿名问： HI Warren, what is your long term view on dji? Thanks a lot!(2010-08-04 21:14:01)　　专家[warren王]答： 你讲的是道琼指数，我觉得短期还有3个月可能还要涨，但是明年也许又要跌了，现在还是大熊市周期，不要谈太多的长线，长线经济问题很大，细节上，我们专注通过交易赚钱。(2010-08-04 21:22:38)
　　匿名问： 请教老师，我在美国。女儿刚出生。想做投资给女儿读大学用，买一些什么好？股票，基金。有没有可以推荐的？谢谢！(2010-08-04 21:14:45)　　专家[warren王]答： 首先恭喜你了，你可以开个529 Savings Plan,没有时间打理的话，就投指数基金就可，你可以点击以下的链接，看下。 http://www.oneshareinvestments.com/(2010-08-04 21:19:28)
　　匿名问： 王哥，你的vip是否可以保证我每个月赚5%的利润？无论大势好还是坏。多谢！目前在考虑你的vip。(2010-08-04 21:16:22)　　专家[warren王]答： 这太恐怖了，能保证5%利润的话，那基本是个骗子，你看麦道夫吧，别急，多看下我每日的分析，我觉得这都是缘分，大家有缘分，就在一起乐，哈哈哈。(2010-08-04 21:21:22)
　　匿名问： sir how about alu thanks(2010-08-04 21:21:23)　　专家[warren王]答： ALU，我认为还不错吧，因为对通信器材的需求正在增大，不过我更喜欢BRCM之类的。谢谢大家的时间。明天我有事情，Tom Sun将主持这个节目，我们周五见。 新浪围脖(http://t.sina.com.cn)，多和我交流，我会回答股友问题的，谢谢，晚安。 http://t.sina.com.cn/warrenwang2008(2010-08-04 21:31:32)

