12月21日美股专家坐堂实录
　　12月21日，美股专家曾文俊做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	曾老师，您好！ 我知道您不看好600536，可我28的成本被套，又特别希望您给看看短期支撑和压力位。所以还是请您百忙中指点一下吧。万分感激！(2009-12-21 20:21:03)　　专家[曾文俊]答： 	短期支撑21，压力27。这个股票我每次坐堂都会回答。强庄股，看造化了。(2009-12-21 21:21:42)
　　匿名问： 	老师，帮忙看看601168吧，谢谢(2009-12-21 21:43:04)　　专家[曾文俊]答： 	12 月以来，美元开始了一波升值。这直接导致了黄金这波30%上涨的结束。我记得就是在上次坐堂的周五，公布失业率降至10%以下开始的。当时对此做了分析。虽然大宗商品仍然继续新高，不过资源股却随大盘回落。近期美元在78有望暂时停止上涨，所以或有反弹机会，不过A股市场的反应较之海外市场更加冷淡，恐怕难以操作。(2009-12-21 22:02:16)
　　libin33332000问： 	老师怎么看最近的万科？？(2009-12-21 21:49:46)　　专家[曾文俊]答： 	最近地产股的负面消息特别多，万科虽是最值得投资的地产股(不是投机)，也难独立走势。大盘调整到半年线，而万科正调整到年线。这里应该会有支撑，走出波反弹。再后市需要看大盘整体走势。(2009-12-21 22:05:49)
　　匿名问： 	曾老师，您好！ 您坐堂，人特别多，所以早排号。请百忙中指点一下000759的支撑好吗？谢谢！(2009-12-21 21:57:29)　　专家[曾文俊]答： 	商业零售我在9月份也关注了一段，投资基建政策受到收缩影响，消费类就成了资金关注的一个门类。短期的强支撑是在11.5。(2009-12-21 22:09:35)
　　匿名问： 	曾老师，您好！首先祝您身体健康，阖家幸福！请百忙中指点：600089支撑和压力位在哪里？谢谢！(2009-12-21 21:59:23)　　专家[曾文俊]答： 	回看特变电工过去5年很是感慨，2，30倍涨幅。短期支撑在21，压力26.(2009-12-21 22:18:58)
　　匿名问： 	曾老师：真高兴又见到你了，我现在满仓的DRYS，你觉得短期是HOLD OR SELL，还有你觉得JAZZ觉得样？(2009-12-21 22:00:54)　　专家[曾文俊]答： 	drys走势与BDI关联不大，这半年以来基本走成了收窄的箱体了。不好给意见，从大盘的空间，bdi的最近走势，似乎sell更安全些。美股jazz生物医药股受消息影响非常大，我一般不大参与。(2009-12-21 22:13:05)
　　匿名问： 	请教HRAY走势及公司前景(2009-12-21 22:07:17)　　专家[曾文俊]答： 	行业的发展大前景还是看好，不过股价波动相当大，需要有足够的承受能力。目前4块应该能提供较强的支撑。(2009-12-21 22:23:21)
　　[手机用户]问： 	不好意思，打错了。曾生帮忙看看002097多谢(2009-12-21 22:09:03)　　专家[曾文俊]答： 	工程机械行业也是最近机构偏爱的一个行业。技术上，这两天有些放量，今天又是面对压力位冲高回落，恐怕会有调整17.8的支撑。(2009-12-21 22:26:10)
　　匿名问： 	嗨！ 尊敬的曾老师晚上好！！！*****************( 每次看您解盘速度让人 内佩服得五体投地！！！)尽管我今天没股可问。 888 拜拜了好老师 ！(2009-12-21 22:19:41)　　专家[曾文俊]答： 	这么支持我，实在感动。这位朋友晚安。(2009-12-21 22:27:03)
　　jsyinyubao问：  	曾老师，麻烦你帮我看看AIB的后期走势，是不是还值得持有啊？(2009-12-21 22:19:44)　　专家[曾文俊]答： 	金融股是这波危机的牵头，花旗都跌成几乎破产，AIB这样的国外银行就更难了。如果持有就要有失去所有的盘算，去博取能熬过危机。(2009-12-21 22:31:18)
　　匿名问： 	曾老：lvs如何操作??(2009-12-21 22:21:29)　　专家[曾文俊]答： 	弱于大盘，震荡走低，建议逢高减仓为宜。(2009-12-21 22:38:57)
　　匿名问： 	曾帅哥，我老佰关注你一年多了，一直没有提问，看你分析得很到位的，想问你600005可以长线持有吗？老佰先谢你了！(2009-12-21 22:23:32)　　专家[曾文俊]答： 	如果有耐心长期持有，完全没有问题。(2009-12-21 22:39:39)
　　匿名问： 	老师真有重大利好吗？美股大涨了(2009-12-21 22:34:56)　　专家[曾文俊]答： 	没有什么特别的利好了。美国经济数据仍然好转，而利率暂也不会升，就在这里涨涨跌跌的横盘了。反而港股跌的幅度比较惊人。(2009-12-21 22:42:03)
　　匿名问： 	尊敬的曾老师：非常感谢您现两次对我的指点，一次是东方金钰，一次是西藏发展，使我免受了两次的损失，现我重仓烽火通信(600498)，有点微利，是否该卖出？(2009-12-21 22:35:29)　　专家[曾文俊]答： 	该股走势良好，今天还新高，量也还不是放的过分，可以暂持有，保持密切关注。(2009-12-21 22:43:44)
　　[手机用户]问： 	文俊哥 我想哭啊 张江高科和金风科技都套了十个点的七个点了 拜托看看吧 5555　老师就回答一下吧 (2009-12-21 22:36:04)　　专家[曾文俊]答： 	这两只股票跌的较深，远弱于大盘。如果大盘有所反弹建议择机出局吧。(2009-12-21 22:45:17)
　　匿名问： 	请教 PIR 走势及公司前景(2009-12-21 22:40:09)　　专家[曾文俊]答： 	公司不甚了解，不过从走势看非常漂亮。日均交易量不大，波动也就会大了。操作从技术上把握好吧。(2009-12-21 22:50:49)
　　匿名问： 	哈哈！老师看见了，只要您坐堂就会来打招呼。大熊市走 过来的。老朋友！(600019 8.2 不破 反转？) (2009-12-21 22:43:53)　　专家[曾文俊]答： 	谢谢支持哦。宝钢这1个月是钢铁的龙头股了，表现出众。如果能在8块附近位置还是可以考虑介入的。(2009-12-21 22:53:03)
　　匿名问： 	曾sir，对cric的前景和它的商业模式怎么看，我个人感觉如果房地产市场出现滑坡，应该不会对它造成太大影响，因为不管房价高低都需要这样的公司来推广房地产。个人拙见，望指导。(2009-12-21 22:47:04)　　专家[曾文俊]答： 	记得施永青说每次房产危机都帮中原地产除掉竞争对手。房价肯定对中介业造成很大的影响，而对cric这种附属恐怕会有更大的影响。(2009-12-21 22:55:17)

