1月15日美股专家坐堂实录
　　1月15日，美股专家曾文俊做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	曾老师好，美股如何投资大宗商品？谢谢！(2010-01-15 15:50:43)　　专家[曾文俊]答： 	买大宗商品的etf，或者直接买期货吧，不过期货要注意杠杆风险。(2010-01-15 21:30:35)
　　匿名问： 	曾SIR，MPEL您怎么看呢，前几天大涨后，这两天又开始回落了，可不可入场呢，什么价位比较好呢，谢谢(2010-01-15 21:47:00)　　专家[曾文俊]答： 	Melco Crown Entertainment本来是处于下降通道中，而元旦后美股的滞涨股都经历了一波补涨。在美国铝业公布业绩后，就开始回落。建议做多的话还是不要选择这种偏弱的股票。(2010-01-15 21:52:55)
　　匿名问： 	AA ROYL GU 支撑&压力？ THANKS!(2010-01-15 21:47:55)　　专家[曾文俊]答： 	AA:14.5的缺口支撑，压力16 royl和gu波动较大，给压力和支撑恐怕会误导，因为有效性有限。(2010-01-15 21:56:20)
　　匿名问： 	曾大帅，给您敬礼！您说： “市场已经进入了再次的平衡。”“个股会继续表现，”按此意，应该是还可做一把吧，002093什么价位介入合适？上方压力是多少？ 请指示！谢谢！谢谢！谢谢！！！(2010-01-15 21:50:16)　　专家[曾文俊]答： 	保持良好的上升，19块的支撑。做一把的前提是大盘保持稳定，短线操作吧。(2010-01-15 21:57:31)
　　匿名问： 	今天美股会大跌？好像对今天的财报利好消息都不敏感了(2010-01-15 21:51:25)　　专家[曾文俊]答： 	财报出台前股价已经连续上涨1周多了，所以出台后可能会有调整，前例参考美国铝业。这也是我们对今天摩根大通关注的原因。(2010-01-15 21:59:01)
　　sunseu问： 	sir，请问一下云南铜业最近走势如何？(2010-01-15 21:53:29)　　专家[曾文俊]答： 	仍然是横盘阶段。市场对经济复苏信心还不够充分，仍在振荡中。(2010-01-15 22:06:14)
　　匿名问： 	老师请分析一下赛维太阳能LDK，中长线有利可图吗？(2010-01-15 21:53:30)　　专家[曾文俊]答： 	中长线应该有机会，毕竟是龙头企业之一。(2010-01-15 22:06:49)
　　匿名问： 	老师，您好！目前电煤紧缺，煤价看涨，虽然煤炭股去年有所涨幅，但整体来说估值应该并不高，但偏偏在此时煤炭股却遭到机构的大肆抛售，这是为什么呢？是担心资源税开征吗？资源税开征对煤炭业绩应该没有什么大的影响。或仅仅是短期行为？谢谢！(2010-01-15 21:56:57)　　专家[曾文俊]答： 	机构大肆抛售不知从何谈起，地产股才叫大肆抛售。前期的卖出是受准备金提高的影响，机构开始怀疑紧缩政策会早出台。这几天发现政策仍然维持了稳定。(2010-01-15 22:08:58)
　　匿名问： 	曾老师，AIG 29.6半仓，请问一下现在是否补仓？谢谢(2010-01-15 22:03:10)　　专家[曾文俊]答： 	一直在29左右横盘，并没有明确的趋势出来，不适合补仓(2010-01-15 22:10:27)
　　匿名问：  	曾老师好！ 都喜欢您坐堂，人也特别多，您的辛勤劳动，让我们受益匪浅！请帮忙分析下600846短期支撑和压力。 万分感激！！！(2010-01-15 22:03:25)　　专家[曾文俊]答： 	短线的支撑9.5，压力10.5(2010-01-15 22:14:05)
　　匿名问： 	你好！600048保利地产您如何评价？跌了20%也有几个月了。如果在目前的位置有反弹的话，上面的主要阻力位在什么价位？谢谢！(2010-01-15 22:10:48)　　专家[曾文俊]答： 	23块的压力较大了。(2010-01-15 22:16:43)
　　匿名问： 	美国铝业，跟摩根大通有什么关系。请陈曾老师讲解下。(2010-01-15 22:11:23)　　专家[曾文俊]答： 	都是公布业绩阿。(2010-01-15 22:15:03)
　　匿名问： 	曾先生，请问S，怎么样，多少支撑啊，谢了(2010-01-15 22:18:03)　　专家[曾文俊]答： 	昨天放量大跌，慎重。 3.5的支撑。(2010-01-15 22:25:05)
　　匿名问： 	老师，你好。问一下XLF现价能买进吗？谢谢(2010-01-15 22:19:45)　　专家[曾文俊]答： 	建议继续等待一下。(2010-01-15 22:26:28)
　　匿名问： 	帅哥，问一下STE昨天刚进的，27.6成本。谢谢！(2010-01-15 22:20:40)　　专家[曾文俊]答： 	趋势不甚明朗，短线或可。中线不太敢持。(2010-01-15 22:28:44)
　　匿名问： 	老师 A股目前都说地产银行股不好 可觉得已跌了不少啦 是否可以反向思维买点呢(2010-01-15 22:21:16)　　专家[曾文俊]答： 	可以操作反弹，不过可能短线上做强势股会更好些。 (2010-01-15 22:29:25)
　　匿名问： 	美国收银行0.6 % 税，对银行股影响应该很大吧，那么今后是不是不看到好银行股。(2010-01-15 22:22:51)　　专家[曾文俊]答： 	银行股本来就是弱品种。在9月份以来持续走弱，而大盘却向上。当然从长期看，银行股的现价还是值得持有的。(2010-01-15 22:31:27)
　　匿名问： 	请问lfc与601628是同股同权吗 怎么股价相差那么多(2010-01-15 22:23:21)　　专家[曾文俊]答： 	噢，当然不是。美国的是ADR打包的。数量上不一样。(2010-01-15 22:32:48)
　　匿名问： 	老师，SOLF 9元能介入吗？这一阵原油一直在下跌，加上它前期的涨幅，会不会就这样整理了下去？谢谢您。(2010-01-15 22:24:03)　　专家[曾文俊]答： 	不能因为跌所以怕阿，目前的调整还是正常范围。之前的分析也是说在8元左右的支撑吧。(2010-01-15 22:36:20)
　　匿名问： 	PBW怎么样？能买入吗？我一直喜欢您稳重的风格，赞赏您的人品，感谢您的付出。 (2010-01-15 22:27:02)　　专家[曾文俊]答： 	新能源股的etf，应该是可以考虑介入的。谢谢你的支持，我这类风格喜欢的不多，呵呵。(2010-01-15 22:38:10)
　　匿名问： 	摩通和英特尔财报优于预期但市场反映都不佳，是否反映今天难逃大跌，想今天做空美股，请教看法？(2010-01-15 22:28:20)　　专家[曾文俊]答： 	有短线的操作机会。不过只能轻仓参与，毕竟大方向还是向上。(2010-01-15 22:41:17)
　　匿名问： 	BAC盘前下跌，您认为还能继续买入吗？感谢(2010-01-15 22:28:32)　　专家[曾文俊]答： 	今天摩根大通公布业绩，还需要时间稳定一下。(2010-01-15 22:39:41)
　　匿名问： 	你好。TSN能买进吗？谢谢(2010-01-15 22:29:57)　　专家[曾文俊]答： 	TSN前两天大涨，并在昨天跳空突破平台。可以考虑参与。注意以平台的突破点做止损。(2010-01-15 22:44:03)
　　匿名问： 	老师，qid 能买点吗？(2010-01-15 22:35:01)　　专家[曾文俊]答： 	这是做空纳斯达克的ETF，现在最好不要买。(2010-01-15 22:46:38)
　　匿名问： 	曾老师，您怎么看花旗银行和黄金股NEM，谢谢 (2010-01-15 22:36:16)　　专家[曾文俊]答： 	现在的操作意义都不大。金融股前面已经多次分析。黄金现在也没有特别明朗的趋势。(2010-01-15 22:49:12)
　　匿名问： 	600580在你的建议下19元的成本拿到现在，是否该抛了？还请看看600030现在30元的成本，是否还可持有？(2010-01-15 22:36:40)　　专家[曾文俊]答： 	仍然保持了强劲的走势，可以继续持有，走弱后再出。中信证券因为你的成本在支撑附近，在融资融券出台前还是可以持有。(2010-01-15 22:50:58)
　　匿名问： 	老大，STp和yge都15快多了，可以进吗(2010-01-15 22:44:12)　　专家[曾文俊]答： 	二者现在都跌到了支撑位置，而原油也跌到了支撑位置，可以考虑少量介入短线操作。(2010-01-15 22:55:50)
　　匿名问： 	曾老师，我很喜欢你的评论。请问你有个人blog吗？(2010-01-15 22:45:27)　　专家[曾文俊]答： 	谢谢。博客网址 blog.sina.com.cn/wenjunzeng(2010-01-15 22:51:21)
　　匿名问： 	老师啊，美经济复苏 资金回流，港股已破位 A股 就算创新高也是最后一波了？！唉…………(2010-01-15 22:50:36)　　专家[曾文俊]答： 	A股和美股联系不大，不用过于忧虑。如果经济复苏，股票的上涨则会有实质支撑。(2010-01-15 22:56:40)
　　匿名问：  	曾老师，HL还能留吗？(2010-01-15 22:53:44)　　专家[曾文俊]答： 	6块就是支撑位置，还可以留。大家晚安，对大势的分析请见我的博客。 blog.sina.com.cn/wenjunzeng 下次再见了。(2010-01-15 22:58:58)
　　匿名问： 	眼看着曾老师就要离我2个星期了，不知道在最后几分钟也没有机会轮到我的粤传媒，期待！(2010-01-15 22:57:27)　　专家[曾文俊]答： 	看到这句，再回下吧。昨天放巨量，在该价就在压力上，所以不是好的介入点。可能会调整止10.6位置。后续就要看运道。(2010-01-15 23:00:27)
　　匿名问： 	老 * 师 * 周末* 愉 * 快* 888(2010-01-15 22:58:19)　　专家[曾文俊]答： 	大家周末愉快，下次见了。(2010-01-15 23:00:50)

