近日上市之牛熊证
　　代号 名称 正股代码 牛/熊 每手股数 行使价 回收价 上市日期
　　62450 恒指瑞银九十牛B HSI 牛证  10,000 11000 11800 16-03-2009
　　62500 恒指法兴九九熊M HSI 熊证  10,000 12900 12100 17-03-2009
　　62501 恒指法兴九九熊N HSI 熊证  10,000 13300 12500 17-03-2009
　　62502 中移德银九十牛A 00941 牛证  50,000 35.68 41.68 17-03-2009
　　62503 恒指德银九九牛J HSI 牛证  10,000 10200 10700 17-03-2009
　　62504 恒指德银九十牛X HSI 牛证  10,000 10600 11400 17-03-2009
　　62505 港交德银九八牛A 00388 牛证  10,000 23.18 30.18 17-03-2009
　　62506 A中德银九九牛A 02823 牛证  1,000 5.38 6.18 17-03-2009
　　62507 恒指德银九九熊O HSI 熊证  10,000 12800 12300 17-03-2009
　　62508 恒指德银九九熊Y HSI 熊证  10,000 13200 12700 17-03-2009
　　62509 恒指德银九十熊Y HSI 熊证  10,000 14400 13900 17-03-2009
　　62510 恒指瑞银九甲牛N HSI 牛证  10,000 10400 11400 17-03-2009
　　62511 恒指瑞银九甲牛Z HSI 牛证  10,000 10700 11500 17-03-2009
　　62512 恒指德银九十牛W HSI 牛证  10,000 10800 11600 17-03-2009
　　62516 恒指德银九十熊V HSI 熊证  10,000 12400 11900 17-03-2009
　　62513 长实法兴九十牛A 00001 牛证  10,000 38 46 18-03-2009
　　62514 A中法兴九十熊A 02823 熊证  1,000 11.5 10.7 18-03-2009
　　62515 恒生法兴九十牛B 00011 牛证  10,000 48 56 18-03-2009
　　62517 中化荷合零五牛A 00386 牛证  20,000 3.1 3.6 18-03-2009
　　62518 中企荷合九乙牛A HSCEI 牛证  10,000 6000 6500 18-03-2009
　　62519 恒指荷合九九牛C HSI 牛证  10,000 9600 10200 18-03-2009
　　62520 中企瑞银九十牛A HSCEI 牛证  10,000 6000 6800 18-03-2009
　　62521 中化荷合零五熊B 00386 熊证  20,000 4.7 4.2 18-03-2009
　　62522 中企荷合九乙熊B HSCEI 熊证  10,000 8200 7800 18-03-2009
　　62523 恒指荷合九九熊D HSI 熊证  10,000 13200 12400 18-03-2009
　　62524 中企瑞银九十熊B HSCEI 熊证  10,000 7800 7000 18-03-2009
　　62525 恒指瑞银九甲熊P HSI 熊证  10,000 13000 12200 18-03-2009
　　62526 海油瑞银九十牛E 00883 牛证  10,000 5.38 6.38 18-03-2009
　　62527 中寿瑞银九甲牛F 02628 牛证  10,000 20.38 21.88 18-03-2009
　　62528 港交瑞银九十牛F 00388 牛证  10,000 50.88 58.88 18-03-2009
　　62529 中油瑞银九十牛F 00857 牛证  20,000 4.38 5.38 18-03-2009
　　62530 恒指比联九八牛N HSI 牛证  10,000 10600 11100 18-03-2009
　　62531 恒指比联九十牛V HSI 牛证  10,000 9600 10100 18-03-2009
　　62532 恒指比联九十牛W HSI 牛证  10,000 9600 10400 18-03-2009
　　62533 恒指比联九十牛X HSI 牛证  10,000 10100 10600 18-03-2009
　　62534 恒指比联九十牛Y HSI 牛证  10,000 10900 11400 18-03-2009
　　62535 恒指比联九八熊V HSI 熊证  10,000 12700 12200 18-03-2009
　　62536 恒指德银九甲牛W HSI 牛证  10,000 11000 11800 18-03-2009
　　62537 恒指德银九甲牛X HSI 牛证  10,000 11200 11700 18-03-2009
　　62538 恒指荷银九八熊P HSI 熊证  10,000 13800 13000 19-03-2009
　　62539 长实法兴九十熊B 00001 熊证  10,000 76 68 19-03-2009
　　62540 恒指德银九甲牛Y HSI 牛证  10,000 11000 11500 19-03-2009
　　62541 汇丰德银九九牛A 00005 牛证  40,000 12.88 20.88 19-03-2009
　　62542 汇丰德银九九牛B 00005 牛证  40,000 22.88 30.88 19-03-2009
　　62543 A中荷银九八熊E 02823 熊证  1,000 11.58 10.78 19-03-2009
　　62544 A中荷银九八熊F 02823 熊证  1,000 12.28 11.48 19-03-2009
　　62545 汇丰德银九九熊C 00005 熊证  40,000 48.88 40.88 19-03-2009
　　62546 汇丰德银九九熊D 00005 熊证  40,000 58.88 50.88 19-03-2009
　　62547 汇丰荷银九九牛A 00005 牛证  4,000 20.3 28.3 19-03-2009
　　62548 汇丰瑞银九十牛G 00005 牛证  4,000 12.88 18.88 19-03-2009
　　62549 汇丰瑞银九十牛H 00005 牛证  4,000 15.38 21.38 19-03-2009
　　62550 汇丰瑞银九十牛I 00005 牛证  4,000 17.88 23.88 19-03-2009
　　62551 汇丰瑞银九十牛J 00005 牛证  4,000 20.88 26.88 19-03-2009
　　62552 汇丰瑞银九十牛K 00005 牛证  4,000 25.38 31.38 19-03-2009
　　62553 恒指比联九十熊Z HSI 熊证  10,000 12500 12000 19-03-2009
　　62554 恒指比联九十熊I HSI 熊证  10,000 14000 13500 19-03-2009
　　62555 汇丰比联九十熊C 00005 熊证  4,000 43.88 39.88 19-03-2009
　　62556 汇丰瑞银九十熊L 00005 熊证  4,000 42.38 36.38 19-03-2009
　　62557 汇丰瑞银九十熊M 00005 熊证  4,000 44.88 38.88 19-03-2009
　　62558 汇丰瑞银九十熊N 00005 熊证  4,000 47.38 41.38 19-03-2009
　　62559 汇丰瑞银九十熊O 00005 熊证  4,000 49.88 43.88 19-03-2009
　　62560 A中法巴九甲牛C 02823 牛证  1,000 8.08 9.08 19-03-2009
　　62561 恒指法巴九乙牛U HSI 牛证  10,000 10800 11400 19-03-2009
　　62562 恒指法巴九九熊Z HSI 熊证  10,000 13200 12600 19-03-2009
　　62563 A中法巴九甲熊D 02823 熊证  1,000 11.58 10.58 19-03-2009
　　62564 汇丰法巴九十牛B 00005 牛证  4,000 30 33 19-03-2009
　　62565 汇丰法巴九甲牛D 00005 牛证  4,000 24 27 19-03-2009
　　62566 汇丰法巴九十牛E 00005 牛证  4,000 27 30 19-03-2009
　　62567 汇丰荷银九九熊B 00005 熊证  4,000 53.8 45.8 19-03-2009
　　62568 汇丰法巴九十熊C 00005 熊证  4,000 42 38 19-03-2009
　　62569 汇丰法巴九十熊D 00005 熊证  4,000 46 42 19-03-2009
　　62570 汇丰法巴九甲熊F 00005 熊证  4,000 50 46 19-03-2009

