3月24日美股专家坐堂实录
　　3月24日，美股专家aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　[手机用户]问：  	老师晚上好。请问民生银行怎么办？套牢了。可以补仓吗？能长期持有吗？(2010-03-24 20:54:22)　　专家[aries高]答： 	新浪?友大家好。近期?行板?基本是整理走?，可以再?望一段??。(2010-03-24 21:31:04)
　　[手机用户]问： 	老大 ntes可否买了(2010-03-24 22:05:28)　　专家[aries高]答： 	NTES?注填?前期缺口35.0附近的??，目前是下跌中，不要急於介入。(2010-03-24 22:14:16)
　　匿名问： 	那么也可以这么说，，万一跌倒支撑买入，，而后有效跌破该支撑。。就应该止损？(2010-03-24 22:05:28)　　专家[aries高]答： 	一般技?派，如果有操作?律，那?多是??。(2010-03-24 22:08:20)
　　匿名问： 	sir how about drys thanks(2010-03-24 22:06:18)　　专家[aries高]答： 	DRYS我一直??6.0以下就可以?。(2010-03-24 22:14:46)
　　匿名问： 	高老师，谢谢回答FITB,再看看BAC的阻力？(2010-03-24 22:07:29)　　专家[aries高]答： 	BAC日?阻力19.1的前期高?。(2010-03-24 22:12:46)
　　匿名问： 	aries how about 601318 and 601328.thank you 。(2010-03-24 22:08:58)　　专家[aries高]答： 	601308和601328日?目前?是整理?中，相?看好交行一些。(2010-03-24 22:34:14)
　　匿名问： 	高老，002156请导一下向，急(2010-03-24 22:10:13)　　专家[aries高]答： 	前面回答?，可以看下。(2010-03-24 22:25:58)
　　bigbrown26问： 	高老师，帮忙看看zane,tivo,q这些都可以现在介入了吗？谢谢侬(2010-03-24 22:10:37)
　　专家[aries高]答： 	ZANE?股走?完全靠消息，最好不要?注??股 TIVO突破整理，目前整理???有?。 Q日?的上行??在持?，可以??持有，?有的也?有必要追高。(2010-03-24 22:39:46)　　匿名问： 	高老师：帮我看看600328的走势吧，一直想介入，就是不知道什么时候好，您看这个应该有表现的机会吧。谢谢您！(2010-03-24 22:13:27)
　　专家[aries高]答： 	600328今天遭遇????力，短期支?9.55附近，可以?注一下?位置。(2010-03-24 22:27:43)　　匿名问： 	sir how about aray thanks(2010-03-24 22:17:17)
　　专家[aries高]答： 	ARAY日?在????中，短期可以?望了。(2010-03-24 22:25:38)　　匿名问： 	高老师：帮我看看600328的走势吧，一直想介入，就是不知道什么时候好，您看这个应该有表现的机会吧。谢谢您！(2010-03-24 22:23:34)
　　专家[aries高]答： 	前面回答?了。(2010-03-24 22:55:02)　　[手机用户]问： 	老师您好！帮我看下000571什么价钱卖掉！谢谢(2010-03-24 22:24:42)
　　专家[aries高]答： 	??上行???有?，短期?力8.2附近。(2010-03-24 22:45:36)　　匿名问： 	先生Alexco Resource，4块1的成本，有希望吗？谢谢(2010-03-24 22:28:48)
　　专家[aries高]答： 	具?代?？(2010-03-24 22:47:31)　　匿名问： 	高老师：好！吉林敖东000623近期走势如何看？谢谢！(2010-03-24 22:29:52)
　　专家[aries高]答： 	000623近期震?下行，短期?是?望?好。(2010-03-24 22:56:00)　　匿名问： 	高老师，请问601318可以买入了？(2010-03-24 22:32:19)
　　专家[aries高]答： 	601318是??，平?波?不大，短期??整理，可以考?。(2010-03-24 22:48:51)　　匿名问： 	高老师：你好！ 请帮助看看aes应该跌到哪里可以补仓库。(2010-03-24 22:34:59)
　　专家[aries高]答： 	目前弱??有改?，可以不考???。(2010-03-24 22:50:19)　　匿名问： 	老大，visn最近好弱势啊。我持有着呢。(2010-03-24 22:42:01)
　　专家[aries高]答： 	VISN目前弱?整理，短期弱?不?改?。(2010-03-24 22:46:02)　　匿名问：  	老师您怎么看纳指啊，涨得很快啊，离2007年最高点15%了(2010-03-24 22:43:21)
　　专家[aries高]答： 	恩，昨天?是?52周新高，短期?不是看空的?候，可以?望，但是?有必要追?了。(2010-03-24 22:49:35)　　匿名问： 	600583如何(2010-03-24 22:43:33)
　　专家[aries高]答： 	600583目前是弱?整理，走?不太看好。(2010-03-24 22:54:33)　　wang_zhen_kdun2问： 	老师好：请问35买的中国神华，何时才能解套(2010-03-24 22:55:31)
　　专家[aries高]答： 	目前神化日?????，解套短期可能性不大。今天就到??了，大家明天?，有???我留言吧：http://blog.sina.com.cn/elliottgao(2010-03-24 23:01:31)

