3月22日美股专家坐堂实录
　　3月22日，美股专家aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	老王，DNB什么时候卖掉合适呢，成本70.8，谢谢！！(2010-03-22 21:23:14)　　专家[aries高]答： 	DNB日?上行??目前?有?，下??力75.0附近。(2010-03-22 21:36:29)
　　匿名问： 	请问对CAGC,SEED,和NEP的看法，都在跌， 哪个更有潜力。多谢啦(2010-03-22 21:58:42)　　专家[aries高]答： 	看?你是???股的?好者，CAGC略微好些，不???中?概念的波?都比?大。(2010-03-22 22:15:48)
　　匿名问： 	高老师您好，600761在零八年三月周K线有个缺口，想知道中线是否会补缺(2010-03-22 21:59:27)　　专家[aries高]答： 	我想A股不?考?到那??，不要太?注了，?人??。(2010-03-22 22:19:55)
　　匿名问： 	高老师，帮忙分析一下ASIA吧，怎么老是跌啊？(2010-03-22 22:09:28)　　专家[aries高]答： 	ASIA?注回?24.6附近缺口的??，目前仍然?於反?的高位。(2010-03-22 22:20:44)
　　匿名问：  	老师，请教医改通过对今天大盘的走势是否会有负面影响，是逢低买进还是抛售股票？多谢指点！！(2010-03-22 22:12:31)　　专家[aries高]答： 	?大?而言，短期有?利回吐的需要，不???板??股近期表?比???，具?到?股走?，??什麽?候都可以逢支?位反?介入，?力位 出?。(2010-03-22 22:24:48)
　　匿名问： 	高老师你好，兄弟A股浸淫多年，略有心得！最近朋友介绍参与美股，选了一个AMD，以为无论技术上还是基本面，都是短长皆宜！但我对美国公司不甚了解，望予指教！谢谢！(2010-03-22 22:13:17)　　专家[aries高]答： 	AMD，INTC，NVDA等半????股都不?，但是最好是等待????，目前都?於反?高位附近。(2010-03-22 22:26:20)
　　匿名问： 	大师你觉得美股短期有回调吗，能回调到哪个点位？谢谢！(2010-03-22 22:15:48)　　专家[aries高]答： 	大?短期有???利回吐的必要，但是可以??板??待，三大股指的第一支?分?都是前期的反?高?位置。(2010-03-22 22:51:04)
　　匿名问： 	axu可持有吗，谢谢了。(2010-03-22 22:20:23)　　专家[aries高]答： 	AXU短期上行??完整，???支?3.22附近。(2010-03-22 22:36:32)
　　匿名问： 	老师好！汉钟精机成本价24元，后市如何操作？谢谢(2010-03-22 22:21:00)　　专家[aries高]答： 	短期?股?反?新高，上行???有改?，短期看?。(2010-03-22 22:46:01)
　　匿名问： 	老师，1.1左右买入FNM好不好，想做个中线。感谢(2010-03-22 22:21:59)　　专家[aries高]答： 	FNM支?1.04，中?可以等待一?暴??乎就??，然後??等??，?是近半年?走?特?。(2010-03-22 22:39:20)
　　[手机用户]问： 	老大、快看一下002041急…急…急…谢了。(2010-03-22 22:22:15)　　专家[aries高]答： 	002041日???整理，支?34.8，我?向看跌。(2010-03-22 22:58:29)
 
　　匿名问： 	高老师好！ 很喜欢您坐堂，000759企稳了吗？支撑和压力是多少？ 谢谢！谢谢！谢谢！！！(2010-03-22 22:30:18)　　专家[aries高]答： 	000759目前看，有企??象，支?9.7附近，?力10.7(2010-03-22 22:55:11)
　　匿名问： 	高老师，帮忙看看000522，深套20%啊！ 怎么办啊(2010-03-22 22:39:26)　　专家[aries高]答： 	日?震?回落，短期有止跌?象，不?可能?持?整理走?。(2010-03-22 22:49:57)
　　匿名问： 	老师请问600033现在微套明天要割吗？(2010-03-22 22:39:29)　　专家[aries高]答： 	福建高速近期走?呈上行通道，???有破位，可以持有。(2010-03-22 22:53:57)
　　匿名问： 	visn后市如何(2010-03-22 22:42:44)　　专家[aries高]答： 	VISN的弱??有改?，短期可以?望。(2010-03-22 22:47:51)
　　匿名问： 	老师txco破产了，还能有钱吗？谢了(2010-03-22 22:43:06)　　专家[aries高]答： 	??股我?有?注，所以具?情?不太清楚。(2010-03-22 22:47:22)
　　匿名问： 	高老师好！ 非常感激您前期的指点！也很喜欢您坐堂，000759企稳了吗？支撑和压力是多少？ 谢谢！谢谢！谢谢！！！(2010-03-22 22:57:03)　　专家[aries高]答： 	000759日?高位整理中，我?在不太喜?高位整理的股票，因??得上行空?比下跌空?小很多，?人喜好??，支?8.95附近，?力11.3(2010-03-22 23:01:39)
　　匿名问： 	高老师，PALM被深套，5.2成本价。请您分析一下有没有必要补仓，或是干脆割肉？谢谢(2010-03-22 23:00:03)　　专家[aries高]答： 	我?得?有??必要，?在??不小，不建?玩了，??股我也有一??了，止?了，未??不?我都不後悔，?供?考。(2010-03-22 23:03:01)
　　匿名问： 	老师能帮忙看看IDT的后继走势吗？(2010-03-22 23:02:58)　　专家[aries高]答： 	IDT目前上行???有?，有的可以持有?望，?有的?有必要追高。今天就到??了，大家明天?，有??可以留言：http://blog.sina.com.cn/elliottgao(2010-03-22 23:04:06)

