3月15日美股专家坐堂实录
　　3月15日，美股专家曾文俊做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	老师，C会不会调整回去？您认为短期调整后还会进一步上升吗？谢谢您(2010-03-15 20:38:50)　　专家[曾文俊]答： 	花旗经过上周的上涨 ，加之美股也逐步来到前期高点。有调整的需求。我们需要对明天美联储会议进行进一步的分析。(2010-03-15 21:18:24)
　　匿名问： 	600723西单商场13.5成本，可否补仓(2010-03-15 22:10:05)　　专家[曾文俊]答： 	11块补仓更为合适。(2010-03-15 22:29:49)
　　匿名问： 	曾先生你好，前几个月不小心买了spex被套，准备先长期持有了，请问一下这个股票还有反弹上去的机会吗，中短期内不会有什么破产的可能吧？多谢了(2010-03-15 22:13:34)　　专家[曾文俊]答： 	首先不要因为套住就准备长期持有。其次，目前该股走势较强，可继续持有。(2010-03-15 22:28:35)
　　匿名问： 	曾老师您好！我很少打扰您，今天想请你分析一下600881好吗？谢谢！(2010-03-15 22:13:50)　　专家[曾文俊]答： 	最近几个月的走势没有什么特别值得关注的。逐步缩小的振荡幅度。后市需要大盘的配合。公司方面较为平淡。(2010-03-15 22:33:08)
　　匿名问： 	麻烦小曾老师给分析一下000831关铝股份好吗？我有两万股，成本9.12。(2010-03-15 22:16:18)　　专家[曾文俊]答： 	如果是前天买的，时机有所欠缺。后续走势并不明确，仍需观望。(2010-03-15 22:34:57)
　　3474mao问： 	ACPI 宣布破产了，像这种破产的公司，其股票价值最后就真的成0了，还是还有任何升高的可能？谢谢(2010-03-15 22:17:31)　　专家[曾文俊]答： 	破产重组。概率较低。(2010-03-15 22:36:17)
　　匿名问： 	曾老师您好啊！终于等到您了！ 帮忙看看VISN吧，6元深套之中啊！该怎么办啊？会不会继续下跌还是持有呢？万分感激！！(2010-03-15 22:25:26)　　专家[曾文俊]答： 	已经暴跌深套，在4块这里应该会有较强的支撑和反复。先持有，择反弹机会吧。(2010-03-15 22:38:44)
　　匿名问： 	‘经济的复苏，会削弱黄金的避险需求’ 这样黄金应该和美股成反比啊，为什么不是呢？应该怎么理解？(2010-03-15 22:28:45)　　专家[曾文俊]答： 	黄金和美股这一周呈现了明显的反比关系阿。(2010-03-15 22:39:18)
　　匿名问： 	002064华峰氨纶的股性怎么样？一定要看看啊，我没本事，不会看(2010-03-15 22:30:42)　　专家[曾文俊]答： 	华峰氨纶是机构喜欢的一只中游化纤类股票。属于挺活跃的股票。(2010-03-15 22:40:40)
　　匿名问： 	曾老师你好：九芝堂短期内应该怎么操作 (2010-03-15 22:33:01)　　专家[曾文俊]答： 	等待，若跌到13块考虑短线买入。(2010-03-15 22:41:44)
　　匿名问： 	曾老师，请分析一下长安汽车200625，谢谢 (2010-03-15 22:37:19)　　专家[曾文俊]答： 	国内的汽车产销连续的高增长，不过现在即使是业内厂商也无法确定能否持续。因此，股价近期有了明显的调整。短期弱势。(2010-03-15 22:47:55)
　　匿名问： 	600117是否可以九元左右介入(2010-03-15 22:38:33)　　专家[曾文俊]答： 	可以考虑(2010-03-15 22:46:46)
　　匿名问： 	请教：花旗股价走势将怎样演变，现在价位能买入吗？(2010-03-15 22:43:50)　　专家[曾文俊]答： 	刚大涨了一波20%以上，不建议买入。大家晚安，明天见。(2010-03-15 22:49:54)
　　匿名问： 	曾老师一定帮我看看呀，002087被套了10000股成本是7.21(2010-03-15 22:45:10)　　专家[曾文俊]答： 	该股6.2-7.2是箱体区域，现价处于中间部位，介入点位欠缺。6块的支撑会更很有力。大家晚安，明天见。(2010-03-15 22:52:05)

