5月28日美股专家坐堂实录
　　5月28日，美股专家曾文俊做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　网友[匿名]问： 请老师分析近期FIG的走势，及建议是持有谢谢！(2009-05-28 12:25:08)　　专家[曾文俊]答： 对冲基金公司，走势完全同于金融类。先持有。(2009-05-28 12:25:08)
　　网友[匿名]问： 曾先生：你能否评估一下通用决定破产对美股的影响？谢谢！(2009-05-28 22:19:37)　　专家[曾文俊]答： 我认为应该不会改变美股在8000之上的箱体运行走势。(2009-05-28 22:19:37)
　　网友[匿名]问： 曾大哥你好。前天问过600900被套10个点。是否 值得持有？或星期一斩仓？请赐教。谢谢。祝端午节快乐(2009-05-28 22:24:57)　　专家[曾文俊]答： 前两天业回答过，很难给出答案。停牌1年了，短期有抛售压力。这两天继续走低，恐怕还会继续下行。(2009-05-28 22:24:57)
　　网友[匿名]问： 曾老师，你是这里所有老师最热心的，勤奋为大家服务实在令人感动，真心的谢谢你。只请教一只002078太阳纸业，目前就是成本价，满仓，已经拿了两个多月拉，请帮忙预测一下短线和中线的趋势，再次谢谢！！！我预计到18以后考虑出去，不知到纸业怎样。是妄想吗？(2009-05-28 22:34:21)　　专家[曾文俊]答： 现在看18可能远了一些，上方13块左右的压力还是比较重的。造纸行业目前还没有看到特别明显的复苏信号。(2009-05-28 22:34:21)
　　网友[匿名]问： 你好。小弟我12块2买的MGM，11块4买的FAS。。。该怎么办啊。 。急。(2009-05-28 22:35:41)　　专家[曾文俊]答： 持有即可。不要过于着急。(2009-05-28 22:35:41)
　　网友[匿名]问： 曾老师，下班了！！！！这都几点了。真辛苦了！(2009-05-28 22:39:01)　　专家[曾文俊]答： 谢谢关心哦，差不多就和大家晚安咯，呵呵。(2009-05-28 22:39:01)
　　网友[匿名]问： 曾老师，想咨询一下ASIA的股票下阶段该如何操作，它还有继续上涨空间吗？谢谢了！(2009-05-28 22:39:11)　　专家[曾文俊]答： AISA的走势是出乎我的意料的，不断的创出新高，对于这类不断新高的股票，我们只能继续看涨。(2009-05-28 22:39:11)
　　网友[匿名]问： 老师你好，请问中金黄金下星期要送股，周一开盘能进吗，配股票要到周四，请指点，多谢了。(2009-05-28 22:41:42)　　专家[曾文俊]答： 中金黄金前几天有分析，不建议再参与了(2009-05-28 22:41:42)
　　网友[匿名]问： ?日好 曾老? 我每次必看您的坐堂 像您??年?而又?美股和全球股市都有研究 而且看?很准 ?言?? ??在??建立更高的知名度 ??做美股的知?普及和宣? (2009-05-28 22:50:42)　　专家[曾文俊]答： 现在越来越多的国内投资者关心海外市场。我也觉得你说的海外市场知识普及和宣传是非常好的事情。不过这需要更多的时间和精力，最好有一批投资者互相学习共同帮助进步。昨天美股大涨有朋友就帮助解答了数据的影响，我觉得这真的很好，^_^。慢慢考虑您的这个提议。(2009-05-28 22:50:42)
　　网友[匿名]问： 小曾老师，总想知道 OPTION 价格对股价是否有控制？谢谢。(2009-05-28 22:51:45)　　专家[曾文俊]答： 不是控制，是互有影响。特别是可能会有资金通过股价来控制OPTION(2009-05-28 22:51:45)
　　网友[匿名]问： 曾老师，感谢您在节假日仍然为小散工作。我想请教大秦铁路还能持有吗，已持有两个月了，一直坐电梯，没有收获。该股业绩不错啊，为什么没有动静呢，还能持有吗？(2009-05-28 22:18:46) 我要回答(2009-05-28 22:52:13)　　专家[曾文俊]答： 前面已经回复了阿，查看昨天坐堂对运输业的详细分析。可以持有。大家晚安了。(2009-05-28 22:52:13)

