9月22日美股专家坐堂实录
　　9月22日，美股专家aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问： CHK怎么买 (2009-09-22 04:11:35)　　专家[aries高]答： CHK支撑25.0附近，如果不跌破该支撑就继续看涨。(2009-09-22 21:46:07)
　　xiaoapple819问： 老师：stp后续如何啊，手里要出手吗？谢谢(2009-09-22 21:51:23)　　专家[aries高]答： STP短期整理在200日EMA附近，如果有利润，短期我觉得可以做获利了结。(2009-09-22 22:09:26)
　　匿名问： Will FNM follow AIG to go higher?(2009-09-22 21:52:22)　　专家[aries高]答： FNM在AIG的影响下有一定的上扬，但是幅度略小，目前的位置我仍然还是坚持自己的观点，不会到1.3一下暂时就不介入。仅供参考。(2009-09-22 22:05:43)
　　匿名问： 高老师，c突破趋势了，压力点位在哪里？ 谢谢您了(2009-09-22 21:57:08)　　专家[aries高]答： 压力依次为5.0，近期高点5.43(2009-09-22 22:14:41)
　　匿名问： dear gao,can i buy bac?(2009-09-22 21:57:11)　　专家[aries高]答： 短期保持观望吧，如果BAC放量突破近期高点18.25，那么将是不错的介入机会。(2009-09-22 22:11:18)
　　匿名问： 老师，能分析下DPTR吗，为何暴跌！(2009-09-22 21:58:07)　　专家[aries高]答： DPTR我没有关注，你可以查下消息面，应该是有利空消息出现，这也是我不建议追高AIG的原因，利好出现暴涨，那么利空消息出来也会想DPTR一样暴跌。(2009-09-22 22:24:48)
　　匿名问： 高老师，GIGM这支股票的潜力怎么样？ 现在是否到合适价位介入？ (2009-09-22 21:59:45)　　专家[aries高]答： GIGM是一只中国概念网游类股，短期出现放量走高，目前趋势看涨。(2009-09-22 22:17:53)
　　匿名问： 老师，流感季度到来，医药零售行业是否值得投资，比如wag cvs？ (2009-09-22 22:04:07)　　专家[aries高]答： 其实从总体看，除了科技类股以外，多数板块仍然是处于相对低位，都是有很好的机会，没有特备关注医药类个股。(2009-09-22 22:48:27)
　　匿名问： 黄金又涨了，怎么看？(2009-09-22 22:05:29)　　专家[aries高]答： 今天黄再次反弹回千元关口上方，不过我仍然倾向逢高看空黄金，现在谈通胀我觉得还为时尚早。(2009-09-22 22:27:32)
　　匿名问： GA 可以进吗？(2009-09-22 22:06:50)　　专家[aries高]答： GA没有没有放量出现，建议观望。(2009-09-22 22:16:04)
　　匿名问： MESA如何？(2009-09-22 22:07:58)　　专家[aries高]答： 太低价的股真的没有研究，不好意思，这类股很难飞上枝头变凤凰啊 。(2009-09-22 22:28:37)
　　匿名问： 高老师，请问AIG和FRE的长期持有风险如何(2009-09-22 22:12:46)　　专家[aries高]答： 多长呢，呵呵，in the long way ,we are all die, 只是目前来看，我觉得高，有一定的的回调机会，特性就是会暴涨暴跌，暴涨不追，暴跌买入。(2009-09-22 22:22:36)
　　匿名问： 请老师推荐几只比较低价的消费，零售股，谢谢。(2009-09-22 22:13:57)　　专家[aries高]答： 我以前推荐过一只M,JCP(2009-09-22 22:19:50)
　　匿名问： 高老是DELL 怎么样(2009-09-22 22:14:29)　　专家[aries高]答： DELL压力18.0位置，支撑15.0附近，总体的上行趋势仍然没有改变。(2009-09-22 22:32:10)
　　匿名问： 高老师，能分析一下美股大盘吗？您一直看跌美股，可是道指一直持续小幅上扬。接下来，您是继续看跌，还是推荐可以建仓。多谢！(2009-09-22 22:17:24)　　专家[aries高]答： 虽然我仍然倾向于看跌大盘，但是我不得不承认近期过分关注指数，自我反省了，哈哈。回到根本上，逢支撑介入，逢压力出货，或者关注放量突破机会才是硬道理。不再过分关注指数。(2009-09-22 22:34:22)
　　匿名问： Dear Mr. Gao: How about S? Can I buy now?(2009-09-22 22:17:54)　　专家[aries高]答： S回调前期跳空缺口走高，短期压力4.5附近的200日EMA，量能略显不足，技术看个人倾向于观望。(2009-09-22 22:41:52)
　　匿名问： 高老师。你觉得ALTH 今天可以买入吗。。(2009-09-22 22:20:03)　　专家[aries高]答： ALTH昨天放量突破趋势线压力，谨慎看涨。(2009-09-22 22:38:26)
　　匿名问： Mr Gao, 你怎么看太阳能类的股票， LDK和YGE？最近有消息说，德国要在2周内提交什么反倾销法案，会不会对这些股票造成很大的冲击。((2009-09-22 22:30:51)　　专家[aries高]答： 太阳能近期迎来一轮超跌反弹，但是目前走势就比较犹豫，因为目前产能过剩压力仍然存在。短期个人倾向于观望。(2009-09-22 22:45:46)
　　匿名问： 高sir,opxa近期如何？现在入手时机如何？可以长期持有吗？请赐教，谢谢！(2009-09-22 22:34:47)　　专家[aries高]答： 这个谁也说不准，OPXA和AIG,FNM差不多，经常暴涨暴跌，我唯一的建议就是这类股宁可错过机会也不追买。(2009-09-22 22:50:14)
　　匿名问： 高老师，我发觉你的心态挺好的，为人也很和善。就是不太喜欢回答A股 哈哈 适当回答下吧，虽说这是美股坐堂！(2009-09-22 22:40:00)　　专家[aries高]答： 谢谢啊。呵呵(2009-09-22 22:54:27)
　　匿名问： Hi Aries, how do u think AMD? It is getting crazy. Thanks。(2009-09-22 22:50:51)　　专家[aries高]答： AMD连续冲高，但是交易量却开始萎缩，短期不妨观望一下。(2009-09-22 22:59:26)
　　匿名问： 高先生请分析FCX，谢谢！(2009-09-22 22:52:23)　　专家[aries高]答： FCX的上行趋势仍然不错，因为是黄金类股，所以和金价有直接的关系，目前黄金价格虽然没有回调，但是继续上扬也略显乏力，所以继续关注金价的影响吧。(2009-09-22 22:57:21)
　　匿名问： 老师JAG现价可以进吗？谢谢。 (2009-09-22 22:52:58)　　专家[aries高]答： JAG在50日EMA位置反弹，短期看涨。(2009-09-22 23:00:59)
　　匿名问： 高老师您好。。最近股票涨的多太多了。。现在却找不到什么好股票买入。。能介绍几股吗？(2009-09-22 22:58:02)　　专家[aries高]答： 这是普遍现象，就是很多人讲到指数涨，但是不见个股涨。短期个人还是谨慎倾向于看空。 (2009-09-22 23:02:01)
　　匿名问： 高总，麻烦看一下601727,长期持有如何？已问过几次了，谢谢！(2009-09-22 23:00:13)　　专家[aries高]答： 601727近期震荡上行，趋势看涨，可以继续持有。大家明天见！(2009-09-22 23:04:20)

