1月14日美股专家坐堂实录
　　1月14日，美股专家曾文俊做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
　　匿名问：  	How about google? should we buy now?(2010-01-14 13:42:59)　　专家[曾文俊]答： 	google退出中国事宜未明，还是先等待吧。(2010-01-14 21:26:06)
　　匿名问： 	曾大帅，给您敬礼！首先感谢您对000759和600054的分析！“消费类的可以关注阿，一个是商业一个是世博。12和24.5左右是技术介入点位。”000759盘中冲击涨停，算是突破压力区了吗？如果是，新的压力是多少？600054的介入点位是否百忙中敲错了键？ 请指示！谢谢！谢谢！谢谢！！！(2010-01-14 22:11:35)　　专家[曾文俊]答： 	噢，054我看成754了，不好意思。黄山旅游周一我有过单独分析的，持有即可，压力在22，现在不可追买，19左右较好。000759尾盘拉升，不能说就突破了，不过也仍可以持有，大盘稳定则仍能上冲，14.5的压力较大。(2010-01-14 22:25:07)
　　lsd6391问： 	请问美国股市买卖是T+O吗？(2010-01-14 22:15:27)　　专家[曾文俊]答： 	是的。(2010-01-14 22:25:36)
　　匿名问： 	老师你真乃神人也。。。。。。。祝你天天开心快乐，发大财(2010-01-14 22:17:05)　　专家[曾文俊]答： 	过誉了阿，谢谢，^_^。心态放平和些，对大盘方向就判断的好些。个股的判断无法强求了，呵呵。祝大家的投资都顺心。(2010-01-14 22:28:50)
　　匿名问： 	hello,BAC成本价是16.73，有点怕，你的感觉呢。谢谢(2010-01-14 22:17:20)　　专家[曾文俊]答： 	金融股这几天不错，现持有吧。投资总会有盈亏，怕也没用咯，追求大概率吧。(2010-01-14 22:30:58)
　　匿名问： 	老师，你好！请问对香港大盘未来几天的走势怎么看，谢谢(2010-01-14 22:20:23)　　专家[曾文俊]答： 	港股的近期走势有些特别，无论是A股还是美股都比他强了，总体还是箱体运行。现在还是看A股能否突破3300的问题了。(2010-01-14 22:32:40)
　　匿名问： 	曾老师：YGE和STP在17元附近可以买吗？上涨趋势应该没变吧？(2010-01-14 22:25:50)　　专家[曾文俊]答： 	16块左右可能更为稳妥一些。上涨趋势仍在了。(2010-01-14 22:38:12)
　　匿名问： 	曾老师，您好！ 首先感谢您的指点！祝您身体健康，阖家幸福！ 600536(26.86的成本)您说：“应该还会有上冲机会。”真准！今天大涨！明天需要先抛出一部分吗？万分感激！！！(2010-01-14 22:27:21)　　专家[曾文俊]答： 	我记得前天谈该股时说28是较大压力。所以我建议在该价位还是要考虑减仓的。(2010-01-14 22:36:30)
　　匿名问： 	小曾老师，000100已经涨了不少了，还有有劲吗(2010-01-14 22:27:39)　　专家[曾文俊]答： 	6块的压力相当巨大，慎重吧。(2010-01-14 22:39:09)
　　匿名问： 	好像感觉老师说的压力在前高的比较多。可是又有过前高才有压力的股票。。那么老师可否帮我看看中国重汽。000951的压力在哪吗？(2010-01-14 22:29:57)　　专家[曾文俊]答： 	重汽今天就是冲击前期高点遭遇压力回落阿。压力能否突破，或者说在压力前采取卖出还是持有，需要根据当时的大盘还有个股的量能做评估。(2010-01-14 22:42:05)
　　匿名问： 	老师，您好！市场除了担心我国银行业的隐忧，还有通涨？出此，市场还在担心什么呢？目前银行一年存款利率百分之二强，而A股目前整体市盈率才20几倍，难道高估了吗？印象中市场的顶部一般在整体市盈率40倍左右才出现，你觉得呢？(2010-01-14 22:31:43)　　专家[曾文俊]答： 	市场担心的是通胀引发的政策收缩调整提速。整体不高，所以我对后市仍然看好，认为振荡后向上可能大。具体分析持续看我的博客分析吧。(2010-01-14 22:43:45)
　　匿名问： 	老师给你发好几天了你没回麻烦看下000939放量大涨，老是找不到卖点坐几次电梯了，看下什么价位出，谢谢(2010-01-14 22:35:03)　　专家[曾文俊]答： 	000939记忆较深刻，10块的时候有网友问过的。 22块压力考虑。(2010-01-14 22:45:48)
　　匿名问： 	曾老师，您好！ 您坐堂，人特别多，已经请教几天了，希望能排上号。002156短期支撑和压力是多少？ 万分感激！(2010-01-14 22:39:07)　　专家[曾文俊]答： 	海外电子产品消费复苏，该股的上升趋势保持较好，15是压力。支撑现在距离较远在12左右。(2010-01-14 22:48:30)
　　匿名问： 	老师：请最后回答我这个问题，我现在空仓！我想买只股票，看中了600316和600565,000522,拿不定主意，是不是寻难选择呀？请帮我看下选择那一只介入比较好？谢谢！ 祝你虎年发大财！(2010-01-14 22:41:32)　　专家[曾文俊]答： 	我几挑一基本也会挑出涨的少的，嘿嘿。这几个股票如果是我自己选都不会选。如果3挑一我挑000522。超强势股，调整了较长时间了，有可能有波较大反弹。(2010-01-14 22:51:38)
　　匿名问： 	pfe昨天似乎突破，可以追涨介入吗？此类股的潜力如何判断呢？谢谢！(2010-01-14 22:43:06)　　专家[曾文俊]答： 	Pfizer 这样的大公司，公司潜力就不用分析了。跟随行业的发展吧。可以从技术角度介入。(2010-01-14 22:53:16)
　　匿名问： 	尊敬的曾老师：您坐堂人气很旺，主要是您的敬业，非常感谢您上次对烽火通信的指点只是我没有把握好拿不到今天，现在我拿着002270(法拉数控)有点微利，还能持有否？烦您继续指点！(2010-01-14 22:44:19)　　专家[曾文俊]答： 	持不住牛股是很正常的，毕竟个人客户资金有限，不可能如机构般分配了资金就不管。002270上升趋势良好，成交量也保持稳定，继续持有吧。如果放量或者急涨再考虑卖出。(2010-01-14 22:55:30)
　　匿名问： 	你好！请教航天通信(600677)今天远远弱于大盘您如何评价该股？谢谢！(2010-01-14 22:48:52)　　专家[曾文俊]答： 	一天的走势不能作为评判依据。这一两周的走势强于大盘，应该会保持这态势。(2010-01-14 22:59:02)
　　匿名问： 	How about Mgm,can i hold,thank you(2010-01-14 22:55:54)　　专家[曾文俊]答： 	前面有分析，查找参考以下吧。(2010-01-14 22:59:52)
　　匿名问：  	尊敬的曾老师：非常感谢您！祝您一生好运！！(2010-01-14 22:58:50)　　专家[曾文俊]答： 	感谢大家的支持，有这么多人的祝福，肯定会好运的，^_^。 大家晚安，明天见。(2010-01-14 23:00:29)

