10月15日美股专家坐堂实录
　  新浪财经讯 10月15日，美股专家Aries高做客新浪财经，回答新浪网友提出的股市方面的问题，以下是问答实录：
    匿名问：  	Hi Aries: I want to buy some bearish index. Among CSO, FAZ and TZA, which one is better? Thanks(2010-10-15 20:02:44)　　专家[aries高]答： 	目前看，主要股指的上行趋势没有变，不妨进一步观望。(2010-10-15 21:27:25)
　　匿名问： 	高老师，rdn技术上的压力位在多少？另外后续走势您如何看？(2010-10-15 21:52:37)　　专家[aries高]答： 	RDN压力9.6，目前上行趋势没有变。(2010-10-15 22:11:39)
　　匿名问： 	高老师，UUP现在可以介入吗？ 谢谢(2010-10-15 21:56:59)　　专家[aries高]答： 	个人觉得UUP虽然下行趋势没有变，但是已经接近前期低点，回调空间不大，谨慎看涨。(2010-10-15 22:06:51)
　　匿名问： 	您好高老师我的000063后市如何谢谢谢。。。。。。(2010-10-15 21:58:47)　　专家[aries高]答： 	该股个人还是比较看好的，如果有继续回调机会，仍然是介入机会，个人观点。(2010-10-15 22:25:22)
　　匿名问： 	百度可以买进吗？你有什么看好的股票可以推荐？我打算玩3个月。(2010-10-15 21:58:51)　　专家[aries高]答： 	BIDU高位整理，料强势依旧，近期公布业绩前可能维持整理走势。(2010-10-15 22:14:15)
　　匿名问：  	Sir,SLW support? Thanks(2010-10-15 22:04:49)　　专家[aries高]答： 	SLW短期支撑26.34(2010-10-15 22:30:17)
　　匿名问： 	高老师，美元估计会反弹到多少？不会突破80吧(2010-10-15 22:09:07)　　专家[aries高]答： 	这个我不知道，但是可以肯定的是做空美元的动力将会逐步减弱，当然总体的下行趋势暂时没有变。(2010-10-15 22:34:23)
　　薛敏问： 	高老师，请分析一下aapl和bidu，两者都下周财报，目前一小赢一小亏，谢谢！(2010-10-15 22:13:36)　　专家[aries高]答： 	有机构提高了AAPL的目标价，但是目前是历史新高，业绩结果不确定性很大，个人偏向看好，BIDU的情况类似，如果担忧就适当降低仓位。(2010-10-15 22:37:47)
　　匿名问： 	老大，SPRD 可以跟进么？(2010-10-15 22:13:43)　　专家[aries高]答： 	SPRD更关注回调50日EMA的机会，类似上周回调11.5附近的机会。(2010-10-15 22:40:35)
　　匿名问： 	goog今天咋大涨？有啥利好吗？ 美股今天开始调整向下吗？谢谢！(2010-10-15 22:17:41)　　专家[aries高]答： 	GOOG公布的业绩好于预期，短期大盘有回调的可能，美元的反弹在一定程度上将会打压股指。(2010-10-15 22:39:45)
　　匿名问： 	小高老师，GAME 看多高？你的博客怎么一直空着，我是你的FANS。(2010-10-15 22:19:06)　　专家[aries高]答： 	GAME目前上行趋势没有变，但是个人并不看好反弹空间。(2010-10-15 22:45:02)
　　匿名问： 	老师昨天看到您对美元的点评，今天美元反弹到5日线附近可以做空吗。谢谢期盼中(2010-10-15 22:24:35)　　专家[aries高]答： 	美元本轮回调已经到了年初的水平，个人不认为还会有较大的回调空间，超跌反弹机会加大。(2010-10-15 22:42:22)
　　匿名问： 	老师您好，baidu啥时候公布业绩呀？业绩会好码(2010-10-15 22:28:19)　　专家[aries高]答： 	BIDU在10月26公布业绩。(2010-10-15 22:54:39)
　　匿名问： 	重仓持有crus,成本17元，该如何操作，请给建议(2010-10-15 22:32:06)　　专家[aries高]答： 	CRUS目前是整理走势，支撑14.89，走势短期偏空，但是基本面还是不错的。(2010-10-15 22:49:14)
　　匿名问： 	高老师你好，拍了好几天队了。帮我看看中国船舶，想在能进吗？谢谢！！！！(2010-10-15 22:32:09)　　专家[aries高]答： 	该股上行趋势没有变，继续看涨。(2010-10-15 22:45:39)
　　johnang123问： 	老师，请问HPQ的support是多少？ LVS今天有点跌了，买价多少才合理？ 谢谢！(2010-10-15 22:37:31)　　专家[aries高]答： 	HPQ短期关注41.42位置的50日EMA支撑，LVS高位整理，跌幅还不到1%，个人关注回调50日EMA的机会。(2010-10-15 22:52:16)
　　匿名问： 	高老师，MIPI今天大涨，我还可以继续持有吗？(2010-10-15 22:38:44)　　专家[aries高]答： 	这类股个人没有研究，不熟悉基本面，还是建议大家不要重仓这类小盘低价个股。(2010-10-15 22:56:37)
　　匿名问： 	老师， 您知道美国哪天结束夏令时吗？ 谢谢. (2010-10-15 22:40:39)　　专家[aries高]答： 	我记得是11月8号左右吧。(2010-10-15 22:47:24)
　　匿名问： 	老师您今天对美元做了2个回答，分别是“当然总体的下行趋势暂时没有变”和“个人不认为还会有较大的回调空间，超跌反弹机会加大”是不矛盾。谢谢望解释(2010-10-15 22:56:18)　　专家[aries高]答： 	个人不认为还会有较大的回调空间，超跌反弹机会加大，但是当然总体的下行趋势暂时没有变(2010-10-15 22:57:55)
　　匿名问： 	~*尊敬的大帅哥老师您好啊！请给俺的 < 蜗牛> 600028 设个中期目标吧，还有600019。谢谢您， 周末愉快！！！*~ (2010-10-15 22:56:38)　　专家[aries高]答： 	呵呵，如果一定要设，我给个10.5吧，中短期的，今天就到这里了，大家下次见，周末愉快！(2010-10-15 23:01:04)

