实录-后程发力尼克斯取胜 科比缺阵湖人惨遭三连败
　　新浪体育讯　北京时间1月31日，缺少了主将科比的洛杉矶湖人在客场挑战纽约尼克斯，结果最终以94-99落败，新浪体育对本场比赛进行了图文直播，以下是直播实录。
　　库里6尺处跳投命中 第三节 [45:51]
　　帕克右翼出手3分命中 第三节 [48:51]
　　马布里上篮得手 第三节 [48:53]
　　奥多姆右翼出手3分命中 第三节 [51:53]
　　马布里突破抛投命中 第三节 [51:55]
　　拜纳姆右侧底线跳投偏出，拉德马诺维奇补篮得手 第三节 [53:55]
　　库里传球失误，拉德马诺维奇将球断下 第三节 [53:55]
　　拉德马诺维奇进攻犯规 第三节 [53:55]
　　弗莱左翼跳投命中 第三节 [53:57]
　　武贾西奇突破上篮得手 第三节 [55:57]
　　杰弗里斯走步失误 第三节 [55:57]
　　拜纳姆抛投不中，拉德马诺维奇抢到篮板 第三节 [55:57]
　　裁判吹罚争球 第三节 [55:57]
　　拉德马诺维奇和杰弗里斯争球 第三节 [55:57]
　　库里将球得到 第三节 [55:57]
　　马布里左侧底线跳投偏出，杰弗里斯将篮板球碰出边线 第三节 [55:57]
　　尼克斯队请求暂停 第三节 [55:57]
　　第三节比赛还有5分48秒 第三节 [55:57]
　　武贾西奇左侧底线跳投偏出，杰弗里斯抢到篮板 第三节 [55:57]
　　库里右侧底线跳投偏出，奥多姆抢到篮板 第三节 [55:57]
　　奥多姆突破上篮得手，同时造成弗莱犯规 第三节 [57:57]
　　加罚不中，弗莱抢到篮板 第三节 [57:57]
　　克劳福德进攻犯规 第三节 [57:57]
　　奥多姆上篮不中，马布里抢到篮板 第三节 [57:57]
　　库里进攻三秒违例 第三节 [57:57]
　　武贾西奇左翼出手3分偏出，弗莱抢到篮板 第三节 [57:57]
　　马布里左翼出手3分命中 第三节 [57:60]
　　拉德马诺维奇扣篮得分 第三节 [59:60]
　　库里造成拜纳姆第四次犯规 第三节 [59:60]
　　埃文斯换下武贾西奇 第三节 [59:60]
　　李换下弗莱 第三节 [59:60]
　　图里亚夫换下拜纳姆 第三节 [59:60]
　　库里两罚一中 第三节 [59:61]
　　奥多姆上篮不中，库里抢到篮板 第三节 [59:61]
　　马布里上篮得手 第三节 [59:63]
　　奥多姆圈顶出手3分偏出，马布里抢到篮板 第三节 [59:63]
　　马布里上篮不中，拉德马诺维奇抢到篮板 第三节 [59:63]
　　帕克右翼出手3分偏出 第三节 [59:63]
　　湖人队请求暂停，第三节比赛还有2分34秒 第三节 [59:63]
　　库里5尺处跳投偏出，杰弗里斯补篮得手 第三节 [59:65]
　　杰弗里斯防守犯规 第三节 [59:65]
　　弗莱换下库里 第三节 [59:65]
　　图里亚夫两罚不中，李抢到篮板 第三节 [59:65]
　　马布里急停跳投偏出，自己抢到篮板 第三节 [59:65]
　　克劳福德左翼跳投命中 第三节 [59:67]
　　拉德马诺维奇右侧底线跳投偏出，图里亚夫补篮得手 第三节 [61:67]
　　马布里传球失误，拉德马诺维奇将球断下 第三节 [61:67]
　　拉德马诺维奇勾手投篮命中 第三节 [63:67]
　　法马尔防守犯规 第三节 [63:67]
　　埃文斯防守犯规 第三节 [63:67]
　　巴克曼换下马布里 第三节 [63:67]
　　克劳福德三罚全中 第三节 [63:70]
　　李防守犯规 第三节 [63:70]
　　罗宾逊换下杰弗里斯 第三节 [63:70]
　　马布里换下巴克曼 第三节 [63:70]
　　第三节比赛还有6.2秒 第三节 [63:70]
　　威廉姆斯换下拉德马诺维奇 第三节 [63:70]
　　图里亚夫两罚一中 第三节 [64:70]
　　马布里圈顶出手3分命中 第三节 [64:73]
　　第三节比赛结束 第三节 [64:73]
　　库里得到20分，马布里得到19分，克劳福德得到11分，弗莱得到10分 第三节 [64:73]
　　奥多姆得到18分，帕克得到14分，拉德马诺维奇得到12分和7个篮板 第三节 [64:73]
　　第四节比赛开始 第四节 [64:73]
　　克劳福德圈顶出手3分偏出，罗宾逊抢到篮板 第四节 [64:73]
　　弗莱右侧底线跳投偏出，库克争抢篮板时犯规 第四节 [64:73]
　　库里换下弗莱 第四节 [64:73]
　　克劳福德走步失误 第四节 [64:73]
　　库里防守犯规 第四节 [64:73]
　　库克两罚一中 第四节 [65:73]
　　罗宾逊右翼跳投命中 第四节 [65:75]
　　埃文斯上篮不中，库克补篮得手 第四节 [67:75]
　　克劳福德上篮不中，拜纳姆抢到篮板 第四节 [67:75]
　　克劳福德防守犯规 第四节 [67:75]
　　埃文斯两罚全中 第四节 [69:75]
　　马布里换下克劳福德 第四节 [69:75]
　　杰弗里斯右翼跳投命中 第四节 [69:77]
　　拜纳姆勾手投篮命中 第四节 [71:77]
　　杰弗里斯右翼出手3分偏出，库里抢到篮板 第四节 [71:77]
　　拜纳姆防守犯规 第四节 [71:77]
　　官方暂停时间 第四节 [71:77]
　　第四节比赛还有8分43秒 第四节 [71:77]
　　库里两罚一中，李抢到篮板 第四节 [71:78]
　　库里跳投命中 第四节 [71:80]
　　拉德马诺维奇左翼出手3分命中 第四节 [74:80]
　　杰弗里斯扣篮得手 第四节 [74:82]
　　库克左翼出手3分命中 第四节 [77:82]
　　李进攻犯规 第四节 [77:82]
　　克劳福德换下罗宾逊 第四节 [77:82]
　　埃文斯上篮不中，自己抢到篮板 第四节 [77:82]
　　埃文斯上篮得手 第四节 [79:82]
　　库里上篮不中，裁判吹罚争球 第四节 [79:82]
　　尼克斯队进攻，马布里右翼出手3分命中 第四节 [79:85]
　　法马尔右翼出手3分命中 第四节 [82:85]
　　马布里右翼出手3分偏出，拉德马诺维奇抢到篮板 第四节 [82:85]
　　埃文斯左翼出手3分偏出，李抢到篮板 第四节 [82:85]
　　克劳福德左侧底角出手3分偏出，库里抢到篮板 第四节 [82:85]
　　马布里一次失误，法马尔将球断下 第四节 [82:85]
　　湖人队请求暂停，第四节比赛还有4分56秒 第四节 [82:85]
　　杰弗里斯防守犯规 第四节 [82:85]
　　奥多姆两罚全中 第四节 [84:85]
　　克劳福德左翼出手3分偏出，杰弗里斯抢到篮板 第四节 [84:85]
　　杰弗里斯上篮得手，同时造成奥多姆犯规 第四节 [84:87]
　　加罚命中 第四节 [84:88]
　　帕克左翼跳投偏出，马布里抢到篮板 第四节 [84:88]
　　克劳福德突破跳投命中 第四节 [84:90]
　　奥多姆突破上篮得手 第四节 [86:90]
　　克劳福德右翼跳投命中 第四节 [86:92]
　　帕克带球突破失误 第四节 [86:92]
　　尼克斯队请求暂停 第四节 [86:92]
　　第四节比赛还有2分48秒 第四节 [86:92]
　　拜纳姆换下图里亚夫 第四节 [86:92]
　　李一次失误 第四节 [86:92]
　　埃文斯勾手投篮偏出，尼克斯队的篮板球 第四节 [86:92]
　　克劳福德跑投命中 第四节 [86:94]
　　奥多姆右翼出手3分命中 第四节 [89:94]
　　埃文斯防守犯规 第四节 [89:94]
　　库里上篮得分 第四节 [89:96]
　　埃文斯7尺处跳投命中 第四节 [91:96]
　　克劳福德右翼出手3分偏出，拉德马诺维奇抢到篮板 第四节 [91:96]
　　拉德马诺维奇左侧底角出手3分命中 第四节 [94:96]
　　尼克斯队请求暂停 第四节 [94:96]
　　第四节比赛还有45.8秒 第四节 [94:96]
　　拉德马诺维奇防守犯规 第四节 [94:96]
　　库里两罚全中 第四节 [94:98]
　　罗斯换下马布里 第四节 [94:98]
　　湖人队请求暂停 第四节 [94:98]
　　第四节比赛还有35.2秒 第四节 [94:98]
　　弗莱换下库克 第四节 [94:98]
　　弗莱换下库里 第四节 [94:98]
　　库克换下拜纳姆 第四节 [94:98]
　　埃文斯左翼出手3分偏出，克劳福德抢到篮板 第四节 [94:98]
　　克劳福德运球出了边线 第四节 [94:98]
　　湖人队请求20秒短暂停 第四节 [94:98]
　　第四节比赛还有20.2秒 第四节 [94:98]
　　库克右侧角出手3分偏出，弗莱抢到篮板 第四节 [94:98]
　　拉德马诺维奇防守犯规 第四节 [94:98]
　　马布里换下杰弗里斯 第四节 [94:98]
　　弗莱两罚一中 第四节 [94:99]
　　湖人队请求短暂停 第四节 [94:99]
　　奥多姆右翼出手3分偏出，库里抢到篮板 第四节 [94:99]
　　比赛结束 第四节 [94:99]
　　尼克斯队赢得胜利 第四节 [94:99]
　　湖人队遭遇三连败 第四节 [94:99]
　　库里得到27分和9个篮板，马布里得到22分和7个篮板，克劳福德得到17分，杰弗里斯得到14分和7个篮板，弗莱得到11分和6个篮板，李得到13个篮板 第四节 [94:99]
　　奥多姆得到25分、9个篮板和6次助攻，拉德马诺维奇得到18分和9个篮板，帕克得到14分，埃文斯得到10分，拜纳姆得到9分 第四节 [94:99]
　　本场比赛的直播就到这里，谢谢球迷们的收看 第四节 [94:99]
　　(Melody)

