马拉多纳：我从没说过梅西自私 阿根廷为什么15年无冠
　　DM 鲁杰里事件确实让我很吃惊，但我和胡利奥的关系很好。人们当年对贝尔萨有求必应，巴西莱也可以按照自己的意愿任命教练组，而他们却拒绝了我的要求。但请相信我，这只会增强我努力前进的欲望。我对自己的球队负责，对自己的球员负责。不论这是否让其他人高兴，我只对马斯切拉诺、阿圭罗、加戈和卡里索负责。只对他们！
　　FF 除了精神状态，马拉多纳还能给国家队具体带来些什么？
　　DM 我所有的经验。在最高水平赛事中度过的30年里，我为这件球衣奉献了一切，也感受到了代表祖国的这份喜悦，这都是我能够传递给球员们的信息。即使拿到世界上所有的钱，也无法与穿着阿根廷球衣打入一球，或赢得一场伟大比赛所获得的喜悦相比。
　　FF 您的前任之一帕萨雷拉曾说过，国家队主帅在上任之初肯定会获得公众100%的支持。但随着比赛的展开，支持率会不可避免地降低。作为马拉多纳，您是否也准备好了接受同样的命运？
　　DM 一切都取决于国家队能否获得成功。在这里，不会场场比赛过后都是节日。我们每次都是为这件球衣比赛，走上球场的球员们必须演绎出他们身上的激情。然后，应该由球员们去唤起人们的激情，阿根廷人会回馈自己的想法。
　　FF 作为国家队主帅，您希望给这支球队赋予怎样的比赛风格？
　　DM 我不是那种告诉球员们“我制作了比赛蓝图，我希望你们逐字逐句地去实施”的人。不会是这样的！
　　FF 那么阿根廷队会如您曾希望的那样，设置一名进攻组织者吗？或者您会视具体情况来调整？
　　DM 我会视不同的比赛来调整。比如，如果我能信任里克尔梅，我们就会让他踢他最合适的位置。如果必须进攻，我就选择3后卫。实际上，球员们给你提供了很多可能，没有他们，你什么都做不了。像阿根廷这样的球队，有很多天才球员，给我提供了无限的可能。
　　FF 所以，您相信一切正式开始了？
　　DM 是的。我很自信。我为我的球队和球员们感到自豪！

