皮耶罗：我在国家队表现并不差 曼联是一生最强的对手
　　SW 你和尤文的合同续签到了2010年，而且同意降薪。是不是你已经意识到，意大利普通家庭能支撑到每个月底都算不错？
　　ADP 其实我平时的生活方式更能表明我对这种现实的了解。
　　SW 那为什么你同意降薪续约？
　　ADP 因为让我无法离开尤文图斯和球迷的，是金钱之外的东西。如果我的选择以金钱为准则，我早已不在这里了。
　　SW 你有多少次差点离开尤文图斯？
　　ADP 至少有过两次吧！不过那些念头都没有持续太久。
　　SW 有没有一支俱乐部体现出比其他球队更诚恳的想买你的决心？
　　ADP 有，但我不会告诉你是哪家。
　　SW 两个赛季前，你曾对《体育周刊》表示，尤文图斯并不一定是你结束职业生涯的地方。今天你还这样认为吗？
　　ADP 至少尤文图斯肯定是我在意大利的最后一支球队。
　　SW 你有可能在合同结束后出国踢球？
　　ADP 尝试外国联赛对我来说，也是一种充满吸引力的选择。就算职业方面不一定顺利，你也肯定能从中获得更丰富的人生经历。比如说，英国的生活质量普遍比意大利高，球场的气氛也不例外；他们的联赛比我们的更漂亮，英国人也比我们更好地解决了球迷暴力等问题——不过目前，我还不能预测2010年以后的事情。
　　SW 作为队长，你会对本队年轻球员提出建议吗？还是由他们在自己的错误中获得经验？
　　ADP 我很想了解现在这些年轻的队友们如何看待我。总体而言，我是一个比较保守的人，因此我可能很少主动向他们“传授”什么、或是给他们什么建议。我是一个更相信行动、而不是话语的人。有时我也会丢下一句话，我希望这些话能够引发思索。但至于对方是否会按照我的意图去思索，就不是我能决定的事情了。
　　SW 乔温科是你的接班人吗？
　　ADP 他是一个天才，他的未来充满无限可能。
　　SW 你职业生涯中最艰难的时刻是哪个？
　　ADP 受伤和养伤那段日子，从1999年延续到2000年欧洲杯；或许还可以算上我小时候独自离家踢球那段经历。12岁的时候，我甚至有可能加盟都灵队。总之，离开家是件很不容易的事情。
　　SW 那么职业生涯中最激动的时刻呢？
　　ADP 获得世界杯冠军那一刻。
　　SW 为什么你在国家队的状态和成绩比不上在尤文图斯时？
　　ADP 我不同意这个说法。对于国家队队员的表现，很难有一个客观的评价，毕竟我赢得了一次世界杯冠军，而在过去50年里，意大利也只做到过另外一次(1982年)。我认为自己是个幸运并且有着特别经历的国脚，但这种幸运和特别，完全是我用努力换来的。
　　SW 你看了奥运会没有？博尔特和菲尔普斯谁更强？
　　ADP 我认为是博尔特，因为男子百米决赛是整个奥运会的巅峰赛事，他不仅拿到了第一，还打破了世界纪录。
　　SW 你想好了“更大一些的时候”会做什么吗？
　　ADP 我还想在“小”的状态下多停留一会儿……
　　SW 你和莫吉还有联系吗？
　　ADP 我上次见到他是一个月以前的事情，在法庭上。
　　SW 你拍广告非常专业，是否考虑过当演员？
　　ADP (笑)演员我已经当过一次了啊，在火鸡跟前。(译者注：意指他眼下接受采访就是在当演员)

